"","Entity","Code","SDG","Year","value"
"269","Bahamas","BHS","14_1_1_2",2013,99.39
"270","Bahamas","BHS","14_1_1_2",2014,99.42
"271","Bahamas","BHS","14_1_1_2",2015,99.14
"272","Bahamas","BHS","14_1_1_2",2016,99.59
"273","Bahamas","BHS","14_1_1_2",2017,99.27
"274","Bahamas","BHS","14_1_1_2",2018,99.77
"275","Bahamas","BHS","14_1_1_2",2019,99.29
"276","Bahrain","BHR","14_1_1_2",2000,96.78
"277","Bahrain","BHR","14_1_1_2",2002,93.79
"278","Bahrain","BHR","14_1_1_2",2003,88.51
"279","Bahrain","BHR","14_1_1_2",2004,95.86
"280","Bahrain","BHR","14_1_1_2",2005,93.79
"281","Bahrain","BHR","14_1_1_2",2006,97.93
"282","Bahrain","BHR","14_1_1_2",2007,96.9
"283","Bahrain","BHR","14_1_1_2",2008,93.52
"284","Bahrain","BHR","14_1_1_2",2009,89.31
"285","Bahrain","BHR","14_1_1_2",2012,95.86
"286","Bahrain","BHR","14_1_1_2",2013,99.31
"287","Bahrain","BHR","14_1_1_2",2014,99.31
"288","Bahrain","BHR","14_1_1_2",2015,99.31
"289","Bahrain","BHR","14_1_1_2",2016,99.31
"290","Bahrain","BHR","14_1_1_2",2017,99.31
"291","Bahrain","BHR","14_1_1_2",2018,99.31
"292","Bahrain","BHR","14_1_1_2",2019,92.87
"293","Bangladesh","BGD","14_1_1_2",2000,93.35
"294","Bangladesh","BGD","14_1_1_2",2001,96.75
"295","Bangladesh","BGD","14_1_1_2",2002,94.86
"296","Bangladesh","BGD","14_1_1_2",2003,92.91
"297","Bangladesh","BGD","14_1_1_2",2004,92.05
"298","Bangladesh","BGD","14_1_1_2",2005,90.27
"299","Bangladesh","BGD","14_1_1_2",2006,96.99
"300","Bangladesh","BGD","14_1_1_2",2007,90.96
"301","Bangladesh","BGD","14_1_1_2",2008,94.74
"302","Bangladesh","BGD","14_1_1_2",2009,97.03
"303","Bangladesh","BGD","14_1_1_2",2010,96.2
"304","Bangladesh","BGD","14_1_1_2",2011,95.18
"305","Bangladesh","BGD","14_1_1_2",2012,94
"306","Bangladesh","BGD","14_1_1_2",2013,96.41
"307","Bangladesh","BGD","14_1_1_2",2014,96.47
"308","Bangladesh","BGD","14_1_1_2",2015,97.93
"309","Bangladesh","BGD","14_1_1_2",2016,97.99
"310","Bangladesh","BGD","14_1_1_2",2017,98.08
"311","Bangladesh","BGD","14_1_1_2",2018,98.18
"312","Bangladesh","BGD","14_1_1_2",2019,93.6
"313","Barbados","BRB","14_1_1_2",2000,96.85
"314","Barbados","BRB","14_1_1_2",2001,89.34
"315","Barbados","BRB","14_1_1_2",2002,94.58
"316","Barbados","BRB","14_1_1_2",2003,77.28
"317","Barbados","BRB","14_1_1_2",2004,91.12
"318","Barbados","BRB","14_1_1_2",2005,98.95
"319","Barbados","BRB","14_1_1_2",2006,92.66
"320","Barbados","BRB","14_1_1_2",2007,88.37
"321","Barbados","BRB","14_1_1_2",2008,98.41
"322","Barbados","BRB","14_1_1_2",2009,89.03
"323","Barbados","BRB","14_1_1_2",2010,76.35
"324","Barbados","BRB","14_1_1_2",2011,97.73
"325","Barbados","BRB","14_1_1_2",2012,97.72
"326","Barbados","BRB","14_1_1_2",2013,94.36
"327","Barbados","BRB","14_1_1_2",2014,94.81
"328","Barbados","BRB","14_1_1_2",2015,92.71
"329","Barbados","BRB","14_1_1_2",2016,85.53
"330","Barbados","BRB","14_1_1_2",2017,96.16
"331","Barbados","BRB","14_1_1_2",2018,96.79
"332","Barbados","BRB","14_1_1_2",2019,96.99
"333","Belgium","BEL","14_1_1_2",2000,99.39
"334","Belgium","BEL","14_1_1_2",2001,58.9
"335","Belgium","BEL","14_1_1_2",2002,90.65
"336","Belgium","BEL","14_1_1_2",2003,82.52
"337","Belgium","BEL","14_1_1_2",2004,99.39
"338","Belgium","BEL","14_1_1_2",2005,78.66
"339","Belgium","BEL","14_1_1_2",2006,58.33
"340","Belgium","BEL","14_1_1_2",2007,93.9
"341","Belgium","BEL","14_1_1_2",2008,89.94
"342","Belgium","BEL","14_1_1_2",2009,90.24
"343","Belgium","BEL","14_1_1_2",2010,97.56
"344","Belgium","BEL","14_1_1_2",2011,93.9
"345","Belgium","BEL","14_1_1_2",2012,96.34
"346","Belgium","BEL","14_1_1_2",2013,72.56
"347","Belgium","BEL","14_1_1_2",2014,95.73
"348","Belgium","BEL","14_1_1_2",2015,70.33
"349","Belgium","BEL","14_1_1_2",2016,81.1
"350","Belgium","BEL","14_1_1_2",2017,83.54
"351","Belgium","BEL","14_1_1_2",2018,90.55
"352","Belgium","BEL","14_1_1_2",2019,95.73
"353","Belize","BLZ","14_1_1_2",2000,97.06
"354","Belize","BLZ","14_1_1_2",2001,97.76
"355","Belize","BLZ","14_1_1_2",2002,99.11
"356","Belize","BLZ","14_1_1_2",2003,98.66
"357","Belize","BLZ","14_1_1_2",2004,98.14
"358","Belize","BLZ","14_1_1_2",2005,97.7
"359","Belize","BLZ","14_1_1_2",2006,95.36
"360","Belize","BLZ","14_1_1_2",2007,99.11
"361","Belize","BLZ","14_1_1_2",2008,97.24
"362","Belize","BLZ","14_1_1_2",2009,98.81
"363","Belize","BLZ","14_1_1_2",2010,97.06
"364","Belize","BLZ","14_1_1_2",2011,93.84
"365","Belize","BLZ","14_1_1_2",2012,98.68
"366","Belize","BLZ","14_1_1_2",2013,98.44
"367","Belize","BLZ","14_1_1_2",2014,99.04
"368","Belize","BLZ","14_1_1_2",2015,98.76
"369","Belize","BLZ","14_1_1_2",2016,99.35
"370","Belize","BLZ","14_1_1_2",2017,99.19
"371","Belize","BLZ","14_1_1_2",2018,98.3
"372","Belize","BLZ","14_1_1_2",2019,99.24
"373","Benin","BEN","14_1_1_2",2000,97.92
"374","Benin","BEN","14_1_1_2",2001,97.5
"375","Benin","BEN","14_1_1_2",2002,94.95
"376","Benin","BEN","14_1_1_2",2003,96.44
"377","Benin","BEN","14_1_1_2",2004,99.07
"378","Benin","BEN","14_1_1_2",2005,97.29
"379","Benin","BEN","14_1_1_2",2006,91.43
"380","Benin","BEN","14_1_1_2",2007,97.77
"381","Benin","BEN","14_1_1_2",2008,93.62
"382","Benin","BEN","14_1_1_2",2009,99.66
"383","Benin","BEN","14_1_1_2",2010,88.42
"384","Benin","BEN","14_1_1_2",2011,98.97
"385","Benin","BEN","14_1_1_2",2012,96.09
"386","Benin","BEN","14_1_1_2",2013,99.22
"387","Benin","BEN","14_1_1_2",2014,98.57
"388","Benin","BEN","14_1_1_2",2015,99.28
"389","Benin","BEN","14_1_1_2",2016,97.38
"390","Benin","BEN","14_1_1_2",2017,99.25
"391","Benin","BEN","14_1_1_2",2018,95.27
"392","Benin","BEN","14_1_1_2",2019,96.33
"393","Bermuda","BMU","14_1_1_2",2000,99.85
"394","Bermuda","BMU","14_1_1_2",2001,95.28
"395","Bermuda","BMU","14_1_1_2",2002,99.71
"396","Bermuda","BMU","14_1_1_2",2003,98.63
"397","Bermuda","BMU","14_1_1_2",2004,98.65
"398","Bermuda","BMU","14_1_1_2",2005,98.22
"399","Bermuda","BMU","14_1_1_2",2006,93.27
