"","Country","Code","SDG","Year","Value","Value_norm_percent"
"187","Ghana","GHA","14_1_1_1","2017",56875108,6.0472066887034
"188","Ghana","GHA","14_1_1_1","2019",179760103,0
"189","Ghana","GHA","14_1_1_1","2020",152134672,0
"190","Greece","GRC","14_1_1_1","2015",2866051,29.1976141854171
"191","Greece","GRC","14_1_1_1","2016",1806335,32.7743610053607
"192","Greece","GRC","14_1_1_1","2017",1039325,37.0568979807893
"193","Greece","GRC","14_1_1_1","2018",1432935,34.5686038728765
"194","Greece","GRC","14_1_1_1","2019",15158,69.8138548364971
"195","Greece","GRC","14_1_1_1","2020",72014,57.7399067087665
"196","Grenada","GRD","14_1_1_1","2016",400159,44.4520855580766
"197","Grenada","GRD","14_1_1_1","2017",592911,41.4057110891317
"198","Grenada","GRD","14_1_1_1","2018",3625093,27.3772630806694
"199","Guam","GUM","14_1_1_1","2015",295858,46.7918431332666
"200","Guam","GUM","14_1_1_1","2016",1880771,32.4614825203794
"201","Guam","GUM","14_1_1_1","2017",1297635,35.3370608781871
"202","Guam","GUM","14_1_1_1","2018",72532,57.6843745155946
"203","Guatemala","GTM","14_1_1_1","2016",4017753,26.580437286911
"204","Guatemala","GTM","14_1_1_1","2017",10803670,18.9164072854151
"205","Guatemala","GTM","14_1_1_1","2018",250689,48.0754260848244
"206","Guernsey","GGY","14_1_1_1","2016",539843,42.1322091053706
"207","Guernsey","GGY","14_1_1_1","2017",2382398,30.6296572154249
"208","Guernsey","GGY","14_1_1_1","2018",2032941,31.8586752890978
"209","Guyana","GUY","14_1_1_1","2016",2985316,28.881724742747
"210","Guyana","GUY","14_1_1_1","2017",1557775,33.9213849933349
"211","Guyana","GUY","14_1_1_1","2018",4524475,25.6601401604324
"212","Iceland","ISL","14_1_1_1","2018",475911,43.1088243673283
"213","India","IND","14_1_1_1","2016",883222,38.317885269979
"214","India","IND","14_1_1_1","2017",916969,38.0273581011237
"215","India","IND","14_1_1_1","2018",172809,50.9578828519316
"216","Indonesia","IDN","14_1_1_1","2016",2090664,31.64174535188
"217","Indonesia","IDN","14_1_1_1","2017",1539911,34.0107495728915
"218","Indonesia","IDN","14_1_1_1","2018",508551,42.5948639317202
"219","Ireland","IRL","14_1_1_1","2015",16667,69.0785525861462
"220","Ireland","IRL","14_1_1_1","2016",123359,53.5696397795282
"221","Ireland","IRL","14_1_1_1","2017",293877,46.8438964599975
"222","Ireland","IRL","14_1_1_1","2018",23512,66.4126210813003
"223","Ireland","IRL","14_1_1_1","2019",440,97.2379501597975
"224","Isle of Man","IMN","14_1_1_1","2016",6200249,23.2188408936207
"225","Israel","ISR","14_1_1_1","2015",221205,49.0448803336272
"226","Israel","ISR","14_1_1_1","2018",4473264,25.7483371658127
"227","Italy","ITA","14_1_1_1","2015",9195292,20.1653396172327
"228","Italy","ITA","14_1_1_1","2016",7008116,22.269870793639
"229","Italy","ITA","14_1_1_1","2017",2331030,30.79854267466
"230","Italy","ITA","14_1_1_1","2018",697753,40.1441759377186
"231","Italy","ITA","14_1_1_1","2019",211601,49.3887940211683
"232","Jamaica","JAM","14_1_1_1","2016",4508765,25.6870897626178
"233","Jamaica","JAM","14_1_1_1","2017",4294002,26.0652237635132
"234","Jamaica","JAM","14_1_1_1","2018",2404118,30.559339853081
"235","Japan","JPN","14_1_1_1","2015",619750,41.0626929147783
"236","Japan","JPN","14_1_1_1","2016",1959469,32.1438789175735
"237","Japan","JPN","14_1_1_1","2017",1781297,32.8825089031564
"238","Japan","JPN","14_1_1_1","2018",468998,43.2221957921628
"239","Jersey","JEY","14_1_1_1","2018",140588,52.556707117804
"240","Kazakhstan","KAZ","14_1_1_1","2015",11449,71.9881438975888
"241","Kenya","KEN","14_1_1_1","2016",3204445,28.3329087070236
"242","Kenya","KEN","14_1_1_1","2017",2048480,31.7996778643211
"243","Kenya","KEN","14_1_1_1","2018",171116,51.0341637864477
"244","Kenya","KEN","14_1_1_1","2020",35808,63.1533467019321
"245","Kiribati","KIR","14_1_1_1","2016",2485,83.8242102489034
"246","Kuwait","KWT","14_1_1_1","2016",1002,90.8615170584226
"247","Kuwait","KWT","14_1_1_1","2017",27233,65.2742970478915
"248","Kuwait","KWT","14_1_1_1","2018",44437,61.4805460398606
"254","Lebanon","LBN","14_1_1_1","2019",2374286,30.6560839405147
"255","Luxembourg","LUX","14_1_1_1","2019",476000,43.1073755522829
"256","Madagascar","MDG","14_1_1_1","2015",5741935,23.8138340951103
"257","Malawi","MWI","14_1_1_1","2016",334,99.3735587425677
"258","Malawi","MWI","14_1_1_1","2017",31323913,10.6686991202968
"259","Malawi","MWI","14_1_1_1","2018",23313061,12.9572089773122
"260","Malaysia","MYS","14_1_1_1","2016",488504,42.9064715682515
"261","Malaysia","MYS","14_1_1_1","2017",475828,43.1101757536296
"262","Malaysia","MYS","14_1_1_1","2018",285621,47.0646798581428
"263","Maldives","MDV","14_1_1_1","2016",3270,81.6972515933416
"264","Maldives","MDV","14_1_1_1","2017",735635,39.7345480061227
"265","Maldives","MDV","14_1_1_1","2018",1263127,35.5458924455869
"266","Malta","MLT","14_1_1_1","2015",1205128,35.9100838712629
"267","Malta","MLT","14_1_1_1","2018",5261,78.0128390766146
"268","Marshall Islands","MHL","14_1_1_1","2016",13321307,17.2933660353288
"269","Marshall Islands","MHL","14_1_1_1","2017",1396071,34.7705392717305
"270","Mauritius","MUS","14_1_1_1","2015",1696629,33.2598238986391
"271","Mauritius","MUS","14_1_1_1","2016",1476694,34.3355363268712
"272","Mauritius","MUS","14_1_1_1","2017",2440870,30.4417916791109
"273","Mauritius","MUS","14_1_1_1","2018",1337026,35.1053620105584
"274","Mexico","MEX","14_1_1_1","2015",195336,50.0084884650271
"275","Mexico","MEX","14_1_1_1","2016",4007696,26.5998559185305
"276","Mexico","MEX","14_1_1_1","2017",783885,39.2423314592044
"277","Mexico","MEX","14_1_1_1","2018",1057973,36.9191126929561
"278","Micronesia (country)","FSM","14_1_1_1","2015",89756,56.0335323657643
"279","Micronesia (country)","FSM","14_1_1_1","2016",752117,39.5628693045047
"280","Micronesia (country)","FSM","14_1_1_1","2017",847000,38.6423394243283
"281","Micronesia (country)","FSM","14_1_1_1","2018",162398,51.4393186215841
"282","Montenegro","MNE","14_1_1_1","2019",1314961,35.2342943454228
"283","Morocco","MAR","14_1_1_1","2015",13884817,16.9723576652144
"284","Morocco","MAR","14_1_1_1","2016",603883,41.2636425717184
"285","Morocco","MAR","14_1_1_1","2017",58923,59.2943793376525
"286","Morocco","MAR","14_1_1_1","2018",724928,39.8481470229573
"287","Morocco","MAR","14_1_1_1","2019",600490,41.3072985055618
"288","Mozambique","MOZ","14_1_1_1","2016",2018795,31.912777319364
"289","Mozambique","MOZ","14_1_1_1","2017",637234,40.8471377944784
"290","Mozambique","MOZ","14_1_1_1","2018",611045,41.172292668599
"291","Myanmar","MMR","14_1_1_1","2016",638003,40.8377933223646
"292","Namibia","NAM","14_1_1_1","2016",186411,50.3708407657794
"293","Netherlands","NLD","14_1_1_1","2015",3870849,26.8690417688641
"294","Netherlands","NLD","14_1_1_1","2016",45603,61.279864868476
"295","Netherlands","NLD","14_1_1_1","2017",52217,60.2305183016857
"296","Netherlands","NLD","14_1_1_1","2018",103847,54.9036905228095
"297","Netherlands","NLD","14_1_1_1","2019",7550,75.2140586963373
"298","New Caledonia","NCL","14_1_1_1","2015",2433702,30.4645783618145
"299","New Zealand","NZL","14_1_1_1","2016",281449,47.1786877062041
"300","New Zealand","NZL","14_1_1_1","2017",24073,66.2299237537699
"301","New Zealand","NZL","14_1_1_1","2018",281211,47.1852423670615
"302","Nicaragua","NIC","14_1_1_1","2016",3262958,28.1927069112106
"303","Nicaragua","NIC","14_1_1_1","2017",1896642,32.396374924163
"304","Nicaragua","NIC","14_1_1_1","2018",621668,41.038751478814
"305","Nigeria","NGA","14_1_1_1","2017",1981343,32.0578654936609
"306","Nigeria","NGA","14_1_1_1","2018",8166746,21.0844149906425
"323","Northern Mariana Islands","MNP","14_1_1_1","2015",87697,56.2133415110238
"324","Northern Mariana Islands","MNP","14_1_1_1","2016",234068,48.6069497678332
"325","Northern Mariana Islands","MNP","14_1_1_1","2017",161545,51.4801224318923
"326","Northern Mariana Islands","MNP","14_1_1_1","2018",174240,50.8939873063859
"327","Norway","NOR","14_1_1_1","2015",325770,46.0456183011406
"328","Norway","NOR","14_1_1_1","2016",277099,47.2993736862341
"329","Norway","NOR","14_1_1_1","2017",284725,47.0890237074895
"330","Norway","NOR","14_1_1_1","2018",94811,55.6090154319273
"335","Oman","OMN","14_1_1_1","2018",2457134,30.3903364979983
"336","Pakistan","PAK","14_1_1_1","2017",5538922,24.0927337202877
"337","Palau","PLW","14_1_1_1","2016",428991,43.913026827195
"338","Palau","PLW","14_1_1_1","2017",509132,42.5860171982241
"339","Panama","PAN","14_1_1_1","2016",1446132,34.4975732257147
"340","Panama","PAN","14_1_1_1","2017",636943,40.8506768104282
"341","Panama","PAN","14_1_1_1","2018",5295090,24.4415478081769
"342","Paraguay","PRY","14_1_1_1","2016",1062838,36.8835658591338
"343","Peru","PER","14_1_1_1","2016",4051824,26.5150104422608
"344","Peru","PER","14_1_1_1","2017",15390297,16.1747690276116
"345","Peru","PER","14_1_1_1","2018",4107201,26.4098343297754
"346","Philippines","PHL","14_1_1_1","2016",1023702,37.1742490654059
"347","Philippines","PHL","14_1_1_1","2017",3174985,28.404469185902
"348","Philippines","PHL","14_1_1_1","2018",4227161,26.1867786041341
"349","Poland","POL","14_1_1_1","2016",850500,38.610388887342
"350","Poland","POL","14_1_1_1","2017",207789,49.5296470098241
"351","Poland","POL","14_1_1_1","2018",732812,39.7643381377159
"355","Portugal","PRT","14_1_1_1","2015",3096130,28.5993309575598
"356","Portugal","PRT","14_1_1_1","2016",1237300,35.7059567578835
"357","Portugal","PRT","14_1_1_1","2017",257362,47.8718821925051
"358","Portugal","PRT","14_1_1_1","2018",1537330,34.023746655552
"359","Portugal","PRT","14_1_1_1","2019",160506,51.5301157183267
"360","Portugal","PRT","14_1_1_1","2020",10294,72.8120748151538
"361","Puerto Rico","PRI","14_1_1_1","2016",1129753,36.4105017204011
"362","Puerto Rico","PRI","14_1_1_1","2017",965147,37.6306084541122
"363","Puerto Rico","PRI","14_1_1_1","2018",684838,40.2889306138757
"364","Qatar","QAT","14_1_1_1","2016",623371,41.0175556087746
"365","Qatar","QAT","14_1_1_1","2017",766972,39.4113309503966
"366","Qatar","QAT","14_1_1_1","2018",464191,43.3020187170706
"367","Reunion","REU","14_1_1_1","2015",2083333,31.6689617606009
"368","Romania","ROU","14_1_1_1","2015",146057,52.2610178626196
"369","Romania","ROU","14_1_1_1","2016",2776233,29.4443114938414
"370","Romania","ROU","14_1_1_1","2017",13410072,17.2419094130169
"371","Romania","ROU","14_1_1_1","2018",719425,39.9071871864243
"372","Russia","RUS","14_1_1_1","2016",555747,41.9072476563647
"373","Russia","RUS","14_1_1_1","2017",2801281,29.3747202514296
"374","Russia","RUS","14_1_1_1","2018",374226,44.9712172502932
"375","Russia","RUS","14_1_1_1","2019",42530,61.8203943468934
"376","Russia","RUS","14_1_1_1","2020",681338,40.3286298022185
"378","Saint Helena","SHN","14_1_1_1","2018",8249464,21.0063331420763
"379","Saint Kitts and Nevis","KNA","14_1_1_1","2016",991240,37.4239209198705
"380","Saint Kitts and Nevis","KNA","14_1_1_1","2017",601484,41.2944837391362
"381","Saint Kitts and Nevis","KNA","14_1_1_1","2018",1538667,34.0170112335404
"382","Saint Lucia","LCA","14_1_1_1","2017",1163493,36.1824963596918
"383","Saint Lucia","LCA","14_1_1_1","2018",1982561,32.0531039972771
"384","Saint Martin (French part)","MAF","14_1_1_1","2016",916833,38.0285073279415
"385","Saint Vincent and the Grenadines","VCT","14_1_1_1","2016",1498550,34.2217014896382
"386","Saint Vincent and the Grenadines","VCT","14_1_1_1","2017",130706,53.1214049644754
"387","Saint Vincent and the Grenadines","VCT","14_1_1_1","2018",4061116,26.4972624017342
"388","Samoa","WSM","14_1_1_1","2016",2089778,31.6450295610613
"389","Samoa","WSM","14_1_1_1","2018",2434888,30.4608035024199
"390","Sao Tome and Principe","STP","14_1_1_1","2016",53107,60.0995722873199
"391","Senegal","SEN","14_1_1_1","2017",100,100
"392","Senegal","SEN","14_1_1_1","2018",230851,48.7141757374403
"393","Serbia","SRB","14_1_1_1","2016",13151163,17.3929633063459
