"","X","Country","Code","SDG","Year","Value"
"328",328,"Angola","AGO","14_1_1_2",2012,96.2868088772017
"329",329,"Angola","AGO","14_1_1_2",2013,96.3094779316755
"330",330,"Angola","AGO","14_1_1_2",2014,95.3800466982522
"331",331,"Angola","AGO","14_1_1_2",2015,93.0791376691678
"332",332,"Angola","AGO","14_1_1_2",2016,94.6999750640401
"333",333,"Angola","AGO","14_1_1_2",2017,96.9102078752295
"334",334,"Angola","AGO","14_1_1_2",2018,95.9127694783851
"335",335,"Angola","AGO","14_1_1_2",2019,98.1230022895745
"336",336,"Angola","AGO","14_1_1_2",2020,98.1230022895745
"337",337,"Angola","AGO","14_5_1",2000,66.58023
"338",338,"Angola","AGO","14_5_1",2001,66.58023
"339",339,"Angola","AGO","14_5_1",2002,66.58023
"340",340,"Angola","AGO","14_5_1",2003,66.58023
"341",341,"Angola","AGO","14_5_1",2004,66.58023
"342",342,"Angola","AGO","14_5_1",2005,66.58023
"343",343,"Angola","AGO","14_5_1",2006,66.58023
"344",344,"Angola","AGO","14_5_1",2007,66.58023
"345",345,"Angola","AGO","14_5_1",2008,66.58023
"346",346,"Angola","AGO","14_5_1",2009,66.58023
"347",347,"Angola","AGO","14_5_1",2010,66.58023
"348",348,"Angola","AGO","14_5_1",2011,66.58023
"349",349,"Angola","AGO","14_5_1",2012,66.58023
"350",350,"Angola","AGO","14_5_1",2013,66.58023
"351",351,"Angola","AGO","14_5_1",2014,66.58023
"352",352,"Angola","AGO","14_5_1",2015,66.58023
"353",353,"Angola","AGO","14_5_1",2016,66.58023
"354",354,"Angola","AGO","14_5_1",2017,66.58023
"355",355,"Angola","AGO","14_5_1",2018,66.58023
"356",356,"Angola","AGO","14_5_1",2019,66.58023
"357",357,"Angola","AGO","14_5_1",2020,66.58023
"358",358,"Angola","AGO","14_6_1",2000,NA
"359",359,"Angola","AGO","14_6_1",2001,NA
"360",360,"Angola","AGO","14_6_1",2002,NA
"361",361,"Angola","AGO","14_6_1",2003,NA
"362",362,"Angola","AGO","14_6_1",2004,NA
"363",363,"Angola","AGO","14_6_1",2005,NA
"364",364,"Angola","AGO","14_6_1",2006,NA
"365",365,"Angola","AGO","14_6_1",2007,NA
"366",366,"Angola","AGO","14_6_1",2008,NA
"367",367,"Angola","AGO","14_6_1",2009,NA
"368",368,"Angola","AGO","14_6_1",2010,NA
"369",369,"Angola","AGO","14_6_1",2011,NA
"370",370,"Angola","AGO","14_6_1",2012,NA
"371",371,"Angola","AGO","14_6_1",2013,NA
"372",372,"Angola","AGO","14_6_1",2014,NA
"373",373,"Angola","AGO","14_6_1",2015,NA
"374",374,"Angola","AGO","14_6_1",2016,NA
"375",375,"Angola","AGO","14_6_1",2017,NA
"376",376,"Angola","AGO","14_6_1",2018,NA
"377",377,"Angola","AGO","14_6_1",2019,NA
"378",378,"Angola","AGO","14_6_1",2020,100
"379",379,"Angola","AGO","14_7_1",2000,6.87878852026242
"380",380,"Angola","AGO","14_7_1",2001,6.87878852026242
"381",381,"Angola","AGO","14_7_1",2002,6.87878852026242
"382",382,"Angola","AGO","14_7_1",2003,6.87878852026242
"383",383,"Angola","AGO","14_7_1",2004,6.87878852026242
"384",384,"Angola","AGO","14_7_1",2005,6.87878852026242
"385",385,"Angola","AGO","14_7_1",2006,6.87878852026242
"386",386,"Angola","AGO","14_7_1",2007,6.87878852026242
"387",387,"Angola","AGO","14_7_1",2008,6.87878852026242
"388",388,"Angola","AGO","14_7_1",2009,6.87878852026242
"389",389,"Angola","AGO","14_7_1",2010,6.87878852026242
