"","Entity","Code","SDG","Year","value","value_norm"
"239","Jersey","JEY","14_1_1_1",2018,140588,0.52556707117804
"240","Kazakhstan","KAZ","14_1_1_1",2015,11449,0.719881438975888
"241","Kenya","KEN","14_1_1_1",2016,3204445,0.283329087070236
"242","Kenya","KEN","14_1_1_1",2017,2048480,0.317996778643211
"243","Kenya","KEN","14_1_1_1",2018,171116,0.510341637864477
"244","Kenya","KEN","14_1_1_1",2020,35808,0.631533467019321
"245","Kiribati","KIR","14_1_1_1",2016,2485,0.838242102489034
"246","Kuwait","KWT","14_1_1_1",2016,1002,0.908615170584226
"247","Kuwait","KWT","14_1_1_1",2017,27233,0.652742970478915
"248","Kuwait","KWT","14_1_1_1",2018,44437,0.614805460398606
"254","Lebanon","LBN","14_1_1_1",2019,2374286,0.306560839405147
"255","Luxembourg","LUX","14_1_1_1",2019,476000,0.431073755522829
"256","Madagascar","MDG","14_1_1_1",2015,5741935,0.238138340951103
"257","Malawi","MWI","14_1_1_1",2016,334,0.993735587425677
"258","Malawi","MWI","14_1_1_1",2017,31323913,0.106686991202968
"259","Malawi","MWI","14_1_1_1",2018,23313061,0.129572089773122
"260","Malaysia","MYS","14_1_1_1",2016,488504,0.429064715682515
"261","Malaysia","MYS","14_1_1_1",2017,475828,0.431101757536296
"262","Malaysia","MYS","14_1_1_1",2018,285621,0.470646798581428
"263","Maldives","MDV","14_1_1_1",2016,3270,0.816972515933416
"264","Maldives","MDV","14_1_1_1",2017,735635,0.397345480061227
"265","Maldives","MDV","14_1_1_1",2018,1263127,0.355458924455869
"266","Malta","MLT","14_1_1_1",2015,1205128,0.359100838712629
"267","Malta","MLT","14_1_1_1",2018,5261,0.780128390766146
"268","Marshall Islands","MHL","14_1_1_1",2016,13321307,0.172933660353288
"269","Marshall Islands","MHL","14_1_1_1",2017,1396071,0.347705392717305
"270","Mauritius","MUS","14_1_1_1",2015,1696629,0.332598238986391
"271","Mauritius","MUS","14_1_1_1",2016,1476694,0.343355363268712
"272","Mauritius","MUS","14_1_1_1",2017,2440870,0.304417916791109
"273","Mauritius","MUS","14_1_1_1",2018,1337026,0.351053620105584
"274","Mexico","MEX","14_1_1_1",2015,195336,0.500084884650271
"275","Mexico","MEX","14_1_1_1",2016,4007696,0.265998559185305
"276","Mexico","MEX","14_1_1_1",2017,783885,0.392423314592044
"277","Mexico","MEX","14_1_1_1",2018,1057973,0.369191126929561
"278","Micronesia (country)","FSM","14_1_1_1",2015,89756,0.560335323657643
"279","Micronesia (country)","FSM","14_1_1_1",2016,752117,0.395628693045047
"280","Micronesia (country)","FSM","14_1_1_1",2017,847000,0.386423394243283
"281","Micronesia (country)","FSM","14_1_1_1",2018,162398,0.514393186215842
"282","Montenegro","MNE","14_1_1_1",2019,1314961,0.352342943454228
"283","Morocco","MAR","14_1_1_1",2015,13884817,0.169723576652144
"284","Morocco","MAR","14_1_1_1",2016,603883,0.412636425717184
"285","Morocco","MAR","14_1_1_1",2017,58923,0.592943793376525
"286","Morocco","MAR","14_1_1_1",2018,724928,0.398481470229573
"287","Morocco","MAR","14_1_1_1",2019,600490,0.413072985055618
"288","Mozambique","MOZ","14_1_1_1",2016,2018795,0.31912777319364
"289","Mozambique","MOZ","14_1_1_1",2017,637234,0.408471377944784
"290","Mozambique","MOZ","14_1_1_1",2018,611045,0.41172292668599
"291","Myanmar","MMR","14_1_1_1",2016,638003,0.408377933223646
"292","Namibia","NAM","14_1_1_1",2016,186411,0.503708407657794
"293","Netherlands","NLD","14_1_1_1",2015,3870849,0.268690417688641
"294","Netherlands","NLD","14_1_1_1",2016,45603,0.61279864868476
"295","Netherlands","NLD","14_1_1_1",2017,52217,0.602305183016857
"296","Netherlands","NLD","14_1_1_1",2018,103847,0.549036905228095
"297","Netherlands","NLD","14_1_1_1",2019,7550,0.752140586963373
"298","New Caledonia","NCL","14_1_1_1",2015,2433702,0.304645783618145
