"","Country","Code","SDG","Year","Value"
"256","Madagascar","MDG","14_1_1_1","2015",18.1186021155159
"257","Malawi","MWI","14_1_1_1","2016",69.4265265520223
"258","Malawi","MWI","14_1_1_1","2017",9.19255592963814
"259","Malawi","MWI","14_1_1_1","2018",10.7465410899043
"260","Malaysia","MYS","14_1_1_1","2016",31.0832285131916
"261","Malaysia","MYS","14_1_1_1","2017",31.2215513961765
"262","Malaysia","MYS","14_1_1_1","2018",33.9068099611711
"263","Maldives","MDV","14_1_1_1","2016",57.4236422672991
"264","Maldives","MDV","14_1_1_1","2017",28.9293718758971
"265","Maldives","MDV","14_1_1_1","2018",26.0851155741008
"266","Malta","MLT","14_1_1_1","2015",26.332415392042
"267","Malta","MLT","14_1_1_1","2018",54.9217861543612
"268","Marshall Islands","MHL","14_1_1_1","2016",13.6909565138034
"269","Marshall Islands","MHL","14_1_1_1","2017",25.5586213042838
"270","Mauritius","MUS","14_1_1_1","2015",24.5327881561445
"271","Mauritius","MUS","14_1_1_1","2016",25.2632377738563
"272","Mauritius","MUS","14_1_1_1","2017",22.619237188962
"273","Mauritius","MUS","14_1_1_1","2018",25.7859786677941
"274","Mexico","MEX","14_1_1_1","2015",35.9057678750898
"275","Mexico","MEX","14_1_1_1","2016",20.0104168072904
"276","Mexico","MEX","14_1_1_1","2017",28.5951381354551
"277","Mexico","MEX","14_1_1_1","2018",27.0175843068209
"278","Micronesia (country)","FSM","14_1_1_1","2015",39.9970016458321
"279","Micronesia (country)","FSM","14_1_1_1","2016",28.8127955134094
"280","Micronesia (country)","FSM","14_1_1_1","2017",28.1877207430339
"281","Micronesia (country)","FSM","14_1_1_1","2018",36.8773559254253
"282","Montenegro","MNE","14_1_1_1","2019",25.8735286228199
"283","Morocco","MAR","14_1_1_1","2015",13.4729796316197
"284","Morocco","MAR","14_1_1_1","2016",29.9676851941881
"285","Morocco","MAR","14_1_1_1","2017",42.2112406575975
"286","Morocco","MAR","14_1_1_1","2018",29.0065099252878
"287","Morocco","MAR","14_1_1_1","2019",29.9973292322691
"288","Mozambique","MOZ","14_1_1_1","2016",23.6180923387052
"289","Mozambique","MOZ","14_1_1_1","2017",29.6848626225366
"290","Mozambique","MOZ","14_1_1_1","2018",29.9056551385149
"291","Myanmar","MMR","14_1_1_1","2016",29.6785173708651
"292","Namibia","NAM","14_1_1_1","2016",36.151818857318
"293","Netherlands","NLD","14_1_1_1","2015",20.1932042291972
"294","Netherlands","NLD","14_1_1_1","2016",43.5594607849282
"295","Netherlands","NLD","14_1_1_1","2017",42.8469145890839
"296","Netherlands","NLD","14_1_1_1","2018",39.2297960985117
"297","Netherlands","NLD","14_1_1_1","2019",53.0213079176334
"298","New Caledonia","NCL","14_1_1_1","2015",22.6347102124512
"299","New Zealand","NZL","14_1_1_1","2016",33.9842256225011
"300","New Zealand","NZL","14_1_1_1","2017",46.920738878885
"301","New Zealand","NZL","14_1_1_1","2018",33.9886764863118
"302","Nicaragua","NIC","14_1_1_1","2016",21.0920231624269
"303","Nicaragua","NIC","14_1_1_1","2017",23.9464734899133
"304","Nicaragua","NIC","14_1_1_1","2018",29.8149755958535
"305","Nigeria","NGA","14_1_1_1","2017",23.7166127226556
"306","Nigeria","NGA","14_1_1_1","2018",16.2652228209117
"323","Northern Mariana Islands","MNP","14_1_1_1","2015",40.1190988885233
"324","Northern Mariana Islands","MNP","14_1_1_1","2016",34.9540698387884
"325","Northern Mariana Islands","MNP","14_1_1_1","2017",36.9050632632402
"326","Northern Mariana Islands","MNP","14_1_1_1","2018",36.5070552388678
"327","Norway","NOR","14_1_1_1","2015",33.214828437856
"328","Norway","NOR","14_1_1_1","2016",34.0661759892186
"329","Norway","NOR","14_1_1_1","2017",33.9233403599861
"330","Norway","NOR","14_1_1_1","2018",39.7087385153753
"335","Oman","OMN","14_1_1_1","2018",22.5842971656001
"336","Pakistan","PAK","14_1_1_1","2017",18.3079855596819
"337","Palau","PLW","14_1_1_1","2016",31.7667177848638
"338","Palau","PLW","14_1_1_1","2017",30.8656278181199
"339","Panama","PAN","14_1_1_1","2016",25.3732669858549
"340","Panama","PAN","14_1_1_1","2017",29.6872657488552
"341","Panama","PAN","14_1_1_1","2018",18.5448435809004
"342","Paraguay","PRY","14_1_1_1","2016",26.9934466558141
"343","Peru","PER","14_1_1_1","2016",19.9528035046277
"344","Peru","PER","14_1_1_1","2017",12.9313866369326
"345","Peru","PER","14_1_1_1","2018",19.8813849273751
"346","Philippines","PHL","14_1_1_1","2016",27.19083159934
"347","Philippines","PHL","14_1_1_1","2017",21.2358177942768
"348","Philippines","PHL","14_1_1_1","2018",19.7299216131593
"349","Poland","POL","14_1_1_1","2016",28.1660251142443
"350","Poland","POL","14_1_1_1","2017",35.5806163301994
"351","Poland","POL","14_1_1_1","2018",28.9496005073256
"355","Portugal","PRT","14_1_1_1","2015",21.3681363423185
"356","Portugal","PRT","14_1_1_1","2016",26.1938053248723
"357","Portugal","PRT","14_1_1_1","2017",34.454931021295
"358","Portugal","PRT","14_1_1_1","2018",25.0515207384811
"359","Portugal","PRT","14_1_1_1","2019",36.939010604561
"360","Portugal","PRT","14_1_1_1","2020",51.3902695827469
"361","Puerto Rico","PRI","14_1_1_1","2016",26.672218128355
"362","Puerto Rico","PRI","14_1_1_1","2017",27.5007169667217
"363","Puerto Rico","PRI","14_1_1_1","2018",29.3058187340641
"364","Qatar","QAT","14_1_1_1","2016",29.8005827946169
"365","Qatar","QAT","14_1_1_1","2017",28.7098952122491
"366","Qatar","QAT","14_1_1_1","2018",31.3518200587191
"367","Reunion","REU","14_1_1_1","2015",23.45253230889
"368","Romania","ROU","14_1_1_1","2015",37.4353209360879
"369","Romania","ROU","14_1_1_1","2016",21.941910237183
"370","Romania","ROU","14_1_1_1","2017",13.6560155118125
"371","Romania","ROU","14_1_1_1","2018",29.0466004399108
"372","Russia","RUS","14_1_1_1","2016",30.4047175047749
"373","Russia","RUS","14_1_1_1","2017",21.8946551389972
"374","Russia","RUS","14_1_1_1","2018",32.4852692952231
"375","Russia","RUS","14_1_1_1","2019",43.9265008418334
"376","Russia","RUS","14_1_1_1","2020",29.332775991587
"378","Saint Helena","SHN","14_1_1_1","2018",16.2122022784893
"379","Saint Kitts and Nevis","KNA","14_1_1_1","2016",27.360368276486
"380","Saint Kitts and Nevis","KNA","14_1_1_1","2017",29.9886275188827
"381","Saint Kitts and Nevis","KNA","14_1_1_1","2018",25.0469471309775
"382","Saint Lucia","LCA","14_1_1_1","2017",26.5173938238334
"383","Saint Lucia","LCA","14_1_1_1","2018",23.7133794856658
"384","Saint Martin (French part)","MAF","14_1_1_1","2016",27.7709054229006
"385","Saint Vincent and the Grenadines","VCT","14_1_1_1","2016",25.1859395934534
"386","Saint Vincent and the Grenadines","VCT","14_1_1_1","2017",38.0195564744535
"387","Saint Vincent and the Grenadines","VCT","14_1_1_1","2018",19.9407519106538
"388","Samoa","WSM","14_1_1_1","2016",23.4362814359373
"389","Samoa","WSM","14_1_1_1","2018",22.6321469394711
"390","Sao Tome and Principe","STP","14_1_1_1","2016",42.7579972691534
"391","Senegal","SEN","14_1_1_1","2017",75.7713590885352
"392","Senegal","SEN","14_1_1_1","2018",35.0268803469249
"393","Serbia","SRB","14_1_1_1","2016",13.7585868456934
"394","Seychelles","SYC","14_1_1_1","2017",3.83608758417555
"395","Seychelles","SYC","14_1_1_1","2018",44.9456941913166
"396","Sierra Leone","SLE","14_1_1_1","2018",66.1635932932465
"397","Singapore","SGP","14_1_1_1","2016",16.6564270125018
