"","Country","countrycode","CountryCode","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017","X2018"
"78","South Sudan","SSD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79","Spain","ESP",NA,12.67405,NA,NA,NA,NA,17.2571,NA,NA,NA,NA,18.84376,NA,NA,NA,NA,19.02001,NA,NA,NA
"80","Sri Lanka","LKA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81","Suriname","SUR",NA,11.69971,NA,NA,NA,NA,12.34738,NA,NA,NA,NA,12.33825,NA,NA,NA,NA,12.32912,NA,NA,NA
"82","Sweden","SWE",NA,6.0877,NA,NA,NA,NA,6.31211,NA,NA,NA,NA,6.7182,NA,NA,NA,NA,7.12428,NA,NA,NA
"83","Switzerland","CHE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.6252,NA,NA,NA,NA,4.6252,NA,NA,NA
"84","Tajikistan","TJK",NA,10.67961,NA,NA,NA,NA,10.67961,NA,NA,NA,NA,10.67961,NA,NA,NA,NA,10.67961,NA,NA,NA
"85","Thailand","THA",NA,55.69242,NA,NA,NA,NA,57.28398,NA,NA,NA,NA,57.47911,NA,NA,NA,NA,64.78444,NA,NA,NA
"86","Tunisia","TUN",NA,2.01729,NA,NA,NA,NA,2.30548,NA,NA,NA,NA,6.82037,NA,NA,NA,NA,7.20461,NA,NA,NA
"87","Turkey","TUR",NA,4.62655,NA,NA,NA,NA,4.98506,NA,NA,NA,NA,5.13871,NA,NA,NA,NA,5.28382,NA,NA,NA
"88","Turkmenistan","TKM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89","Uganda","UGA",NA,35.19499,NA,NA,NA,NA,35.19499,NA,NA,NA,NA,35.19499,NA,NA,NA,NA,35.19499,NA,NA,NA
"90","Ukraine","UKR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.40106,NA,NA,NA,NA,11.70136,NA,NA,NA
"91","Zambia","ZMB",NA,21.95949,NA,NA,NA,NA,21.95949,NA,NA,NA,NA,21.95949,NA,NA,NA,NA,21.95949,NA,NA,NA
"92","Zimbabwe","ZWE",NA,5.6962,NA,NA,NA,NA,5.6962,NA,NA,NA,NA,5.6962,NA,NA,NA,NA,5.6962,NA,NA,NA
