"","Country","CountryCode","SDG","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"33","Eritrea","ERI",15,32.108000738,32.071880654,32.040046856,31.998353672,31.951801174,31.90496359,31.8732917320238,31.839610468,31.789486184,31.7613582660238,31.720217642,31.6890507439762,34.50797686,34.463710862,34.4238278779762,34.393042894,48.636633296,48.610053896,51.423325596
"34","Ethiopia","ETH",15,16.922639207,16.911857307,16.903218907,16.893437307,16.886942407,16.873874107,31.1495200783204,31.2556405239806,31.2440161039806,31.2358285383204,31.227362427,31.2381328756796,42.6946060700194,42.7177823100194,42.7510911956796,42.789674127,57.082430067,57.081286867,59.943430367
"35","Finland","FIN",15,53.802889485,53.812328430648,53.853451606072,53.859626906272,54.017955949248,54.016003036,54.043386994062,54.057940395289,54.073547128983,54.086167306072,54.092405718,54.101094168766,65.540263200649,65.539326432649,65.537419938766,65.533835074,79.824215279,82.684215279,82.684215279
"36","France","FRA",15,25.507540367,25.857754657,28.221976417,28.529616521,43.171448223,43.640778874,46.2329592432218,46.270121515297,46.312724559297,46.3905574062218,46.423164118,46.4619453833466,55.0888265216984,55.144224832427,55.1491757044144,55.202834865,69.463130281,69.44495641,70.365874031
"37","Georgia","GEO",15,19.861297982,19.855312332,19.851755982,21.061676413,21.049546063,35.302979813,35.6567492260974,36.5534832096104,36.5271525776104,36.5282701310974,36.529398356,38.2886798429026,38.4332381353896,38.4203946663896,38.7427463679026,38.726098677,53.011097177,53.006095677,52.999950977
"38","Germany","DEU",15,29.709071421,31.017434774,31.391438163,31.499358996,33.389461751,33.629311231,34.4035066505308,49.2815604563222,49.6411236776508,49.705609548529,49.743238636,49.7545140606868,61.2022602528158,61.2128745228158,61.4109710296868,61.409694542,75.78864828,75.78921988,75.789221309
"39","Greece","GRC",15,26.441986469,27.6727754779618,29.0517561667784,29.1220736993784,29.1575240557618,29.376456959,29.7332268790862,29.7545403801774,30.6829649786406,30.9198725219256,32.609981613,32.6272486308748,35.5044607928122,35.5213322988122,49.8277202488748,49.843767543,64.150638749,64.165517638,64.165660538
"40","Guatemala","GTM",15,35.926425473,35.808572735698,35.694014385904,35.603640399904,35.517905538698,35.490672128,35.667796739639,36.1535719652782,36.0907498297502,36.010379738751,35.942421839,35.872382814391,47.233649127589,47.1779689305366,47.2222939206102,47.140774962,61.426169197,61.406191966,64.241470266
"41","Guinea","GIN",15,29.777939893,44.050476979,45.337040688,45.320292988,45.302544274,45.46443876,45.4490072302928,45.4299904713222,45.4121025986508,45.395910897291,45.382269804,45.3667399479248,51.0727444128158,51.0525665988158,51.0379250199248,51.026531848,65.291209434,65.290209134,65.282206734
"42","Hungary","HUN",15,26.803992368,26.88259491243,27.070869282426,27.38566124835,33.655505486436,33.752383053,33.9663687543682,34.3389286655314,49.0640842567738,49.4318251211404,49.808164135,49.8233177782802,61.2657800646746,61.2653893821246,61.2636271335482,61.25912467,75.553896418,75.555468318,75.556754418
"43","India","IND",15,32.475541518,32.504096817314,32.616479209414,32.632688053014,32.631182292114,32.613191903,32.5774866038052,32.5339735183912,32.5131796531146,32.471054063361,32.434180814,32.3889466258614,44.7245576744704,44.6663979744704,44.6313187058614,44.569094008,58.792780354,58.737478054,61.537602954
"44","Indonesia","IDN",15,34.773323067,34.756385122662,34.67197398225,34.70901205105,34.918542263062,34.929571571,35.1418530469136,35.3016091399804,35.4174881576064,36.0883240630736,36.068457203,36.325574758052,42.3538122965908,42.5937805941198,42.7725150145512,42.775251576,42.815695274,42.977413394,42.900772992
"45","Iraq","IRQ",15,12.301320878,12.2458184294,12.1711673808,12.5623703322,12.5091542836,12.476087135,12.4178820349762,12.505892256,12.466310656,12.4339142203762,12.4059540204,12.3687621404238,12.3248729004,12.3772802934,15.3057060764238,29.5638772564,43.8255477544,43.7882508544,43.7593850544
"46","Ireland","IRL",15,27.0585831802,27.5704637602,43.3180526526,43.7153277336,43.8449209896,43.939765303,44.9975938343428,44.9987851600142,45.0225063700142,45.0381516143428,45.097502292,45.1206162647154,47.9972249743682,47.9963841773324,48.0001679599964,47.995866898,62.285894928,62.280321828,62.272605228
"47","Italy","ITA",15,32.324565489,32.430953336622,32.574644540232,32.97326009913,33.11426466979,33.666002527,33.9164042573862,34.260503908668,34.299876174522,34.5757384364382,48.910202806,48.9263680551522,51.7975876539128,51.8078803101968,51.8137215755584,51.816624066,51.825824826,51.822510234,51.817651634
"48","Japan","JPN",15,44.421745453,44.6495113458,44.7598061906,44.9423000564,45.1506562952,45.459196886,45.5518227448,45.6879093086,45.8158556814,45.9013542092,45.992505131,45.93329829,54.566563608,57.466257107,57.42215874,57.371544794,71.632365548,74.444351148,74.396908348
"49","Jordan","JOR",15,17.8400319684,32.1203147684,32.1127410684,32.1074537684,32.3373415454,32.3356267454,32.3353409454,32.3350551454,32.3336261454,32.332003066,32.430997508,33.040657357,38.807092712,38.875213849,38.872784549,38.870641049,38.868926249,38.867497249,38.864496349
"50","Lebanon","LBN",15,32.440654412,32.447617554,32.453294596,32.460114838,32.467363066,32.474326208,32.4562727559762,32.441884504,32.431304352,32.4246751999762,32.42257496,32.4218101280238,38.141635436,38.142479584,38.1437709720238,38.1460812,52.436782448,55.297068248,55.297354048
"51","Liberia","LBR",15,16.68431101,16.6652164388922,16.6479795945026,34.3519239539026,34.3256844630922,34.301588499,34.269203841,34.237677297,34.206436553,34.176196109,34.148384965,34.117572921,39.810046863,39.777377119,39.746850875,39.718182331,53.974226287,53.971654087,53.959793387
"52","Madagascar","MDG",15,21.191377182,21.47648863721,35.991774055772,37.055847622972,37.13118402481,37.395420923,37.3666351877002,37.3672181573496,37.3147354911436,37.2528559896802,37.590487759,37.5670511059878,46.0985653152604,46.0584291304604,46.0446428815878,46.024115112,60.276712412,63.15345483,63.10172503
"53","Malawi","MWI",15,28.794438285,28.766588857,28.740454229,28.715891501,28.694043873,28.670052745,42.938822061121,42.9167833622172,42.8932214342172,42.871565877121,42.845671991,42.835080924879,54.2657539477828,54.2591200597828,54.254178960879,54.250501951,68.526584463,68.526155763,68.526155763
"54","Malaysia","MYS",15,40.514110025,40.455456799692,40.394560537052,40.311542868652,40.205817744492,40.072391962,40.0612199860232,40.0319082134512,40.0379712424812,39.9810289357392,39.910775875,39.7910669749588,45.4071294672668,45.2779489100668,45.1596818593588,45.035892673,59.202082667,59.077616767,61.810007067
"55","Mexico","MEX",15,30.704960379,30.952198514889,31.3856221903978,31.5190739465978,31.957471166132,32.173712896,32.2736173381616,32.544348606371,32.659714298771,33.0979647923616,33.102985927,33.1395943539436,41.7133174013364,41.8324802170166,41.8110627935194,41.785393258,56.196861988,56.1663928,56.126725189
"56","Mongolia","MNG",15,39.4050611768,39.370531745904,39.337408704056,39.302284020442,39.60218603959,39.5675659514,39.6466629771426,39.7036642989776,39.7454296573316,39.7622449581046,40.485133008,40.8019763694114,43.9712484958824,43.8963100377684,43.8007647008214,43.6840097082,57.962965383,58.125146383,60.977001083
"57","Morocco","MAR",15,14.854032696,14.8812369604154,29.200432928999,29.6960536156096,31.6385973360164,32.133686988,32.2098451326282,32.2396234413714,32.9059479520406,32.9455713817802,32.965654857,32.958923534314,49.0220436617444,49.0072474790592,48.9861366261754,48.96543751,63.243869222,63.236009722,63.224012552
"58","Mozambique","MOZ",15,21.809101667,36.045566005322,35.987502677726,35.919195684926,35.914814793922,35.852599156,35.783070103408,35.729946453448,35.67308013793,35.608044604086,35.555816268,35.716308197022,38.795530304376,38.929696702776,39.150029723222,39.442810965,53.677488921,53.628474221,53.588462221
"59","Myanmar","MMR",15,19.878231687,20.520097921337,21.357495604384,21.917159891784,23.31162854818,23.663189155,23.5030457300978,23.2555585987134,22.9829327472646,22.7324172351832,23.13977681,23.0640028166244,43.0456905630652,43.3443561861796,43.7111863396102,43.793737926,57.997552545,57.9641822,57.937891813
