Country,CountryCode,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Bangladesh,,20.76084,20.76084,20.76084,20.76084,20.76084,20.76084,20.76084,20.76084,20.76084,20.76084,20.76084,20.76084,20.76084,20.76084,20.76084,20.76084,20.76084,20.76084,20.76084
Belarus,,32.81305,39.15464,40.18851,40.18851,40.18851,41.67454,41.67454,41.67454,41.67454,41.67454,41.69527,41.69527,44.48044,45.72876,54.14425,54.94823,54.94823,54.94823,54.94823
Belgium,,67.43481,72.98291,79.88563,91.37596,91.94497,91.94497,91.99943,91.99943,91.99943,91.99943,91.99957,91.99957,91.99957,91.99957,92.77043,92.77043,92.77043,92.77043,92.77043
Belize,,18.32122,18.32122,18.32122,18.32122,18.32122,18.32122,18.32122,18.32164,18.32164,18.32164,18.32164,18.32164,18.32164,18.32164,18.32164,18.32164,18.32164,18.32164,18.32164
Bhutan,,23.13164,23.13164,23.13164,23.13164,23.13164,23.13164,23.13164,23.13164,29.94145,29.94145,29.94145,29.94145,29.94219,29.94219,34.28455,34.28455,34.28455,34.28455,34.28455
Bolivia (Plurinational State of),,30.81275,30.81275,41.27058,41.27058,41.27058,41.27058,41.27058,41.27058,41.27058,41.27058,41.27058,41.27058,41.27058,49.4074,49.4074,49.4074,49.4074,49.4074,49.4074
Bosnia and Herzegovina,,0,0,0,0,0,0,0,33.33333,66.66667,66.66667,66.66667,66.66667,66.66667,66.66667,66.66667,66.66667,66.66667,66.66667,66.66667
Botswana,,45.95875,45.95875,45.95875,45.95875,45.95875,45.95875,45.95875,45.95875,45.95875,45.95875,45.95875,45.95875,45.95875,45.95875,45.95875,45.95875,45.95875,45.95875,45.95875
Brazil,,11.16866,11.16866,11.16866,11.16866,11.17135,11.17135,11.17135,11.17135,12.50397,12.50397,12.50397,12.50397,12.5148,12.5148,12.5148,12.5148,12.5148,12.5148,12.5148
Brunei Darussalam,,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
Bulgaria,,4.9102,9.83343,24.57712,27.80938,36.422,48.96679,56.24019,98.628,98.628,98.628,98.628,98.628,98.628,98.628,98.628,98.628,98.628,98.628,98.628
Burkina Faso,,50.18154,50.18154,50.18154,50.18154,50.18154,50.18154,50.18154,50.18154,50.18154,62.97952,62.97952,62.97952,62.97952,62.97952,62.97952,62.97952,62.97952,62.97952,62.97952
Burundi,,76.29646,76.29646,80.98963,80.98963,80.98963,80.98963,80.98963,80.98963,80.98963,80.98963,80.98963,80.98963,80.98963,81.38633,81.38633,81.38633,81.38633,81.38633,81.38633
Cambodia,,27.95817,27.95817,27.95817,27.95817,30.76114,30.76114,30.76114,32.69555,32.69555,32.99229,32.99229,32.99229,32.99229,32.99229,32.99229,32.99577,32.99577,32.99577,32.99577
Cameroon,,0,14.04496,14.04496,14.04496,14.04496,24.32632,24.32632,24.32632,24.32632,24.32632,24.32632,24.32632,54.53697,54.53697,54.53697,54.53697,54.53697,54.53697,54.53697
Canada,,16.44771,16.99215,17.37431,18.04043,18.0609,20.47878,20.50072,20.50072,20.50072,20.50083,20.50083,20.5839,20.5839,20.5839,20.5839,20.5839,20.7909,20.7909,20.7909
Central African Republic,,94.79876,94.79876,94.79876,94.79876,94.79876,94.79876,94.79876,94.79876,94.79876,95.89527,95.89527,95.89527,95.89555,95.89555,95.89555,95.89555,95.89555,95.89555,95.89555
Central and Southern Asia,,16.31209,16.82881,17.47544,17.90515,18.09218,18.14193,18.14193,18.14804,18.98932,20.2645,20.47215,20.47876,20.83406,21.01908,21.11039,21.11039,21.11875,21.11875,21.11875
Central Asia,,10.16394,10.66623,10.66623,10.66623,10.66623,10.71139,10.71139,10.71139,12.57664,15.92232,15.92232,15.94001,16.86726,16.92672,16.92672,16.92672,16.92672,16.92672,16.92672
Chad,,61.37591,70.22238,70.22238,70.22238,70.22238,70.22238,70.22238,70.22238,70.22238,70.22238,70.22238,70.22238,70.22238,70.22238,70.22238,70.22238,70.22238,70.22238,70.22238
Chile,,27.13212,27.13212,27.13212,27.13212,27.13212,27.34379,27.34379,27.34379,27.34379,27.36077,27.36952,27.36952,27.36952,33.24312,33.24312,33.24312,33.24312,33.24312,33.24312
China,,24.27772,27.2104,29.7399,29.75145,30.01856,30.91214,30.99592,31.29893,31.8249,32.50606,32.50606,33.51278,33.51278,34.14057,34.14057,34.22025,34.22025,34.22027,34.37035
Colombia,,11.6351,11.6351,11.63512,11.63512,11.63515,11.73026,11.75037,11.81501,11.99956,16.72541,16.72541,26.20536,27.32562,29.73855,29.7686,34.5305,34.5305,39.25722,39.25722
Congo,,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999
Costa Rica,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Côte d'Ivoire,,75.55163,75.55163,75.55163,75.55163,75.55163,75.55163,75.55163,75.55163,75.55163,75.55163,75.55163,75.55163,75.55163,75.55163,75.55163,75.55163,75.55163,75.55163,75.55163
Croatia,,22.785,23.11406,23.11406,23.11406,23.11406,23.11406,23.11406,23.11406,23.11406,23.11406,23.13104,43.08809,43.08809,86.77289,86.77289,86.7738,86.7738,86.7738,86.7738
Cuba,,0,1.53966,1.53966,1.53966,1.53966,1.53966,1.53966,1.53966,1.53966,1.53966,15.71529,15.71529,15.86663,15.86663,15.86663,15.86663,15.86663,15.86663,15.86663
Czechia,,51.29401,51.29401,51.33069,51.33069,77.12479,86.21599,86.56517,92.12149,92.12149,92.12149,92.12149,92.12149,92.12149,92.12194,92.12194,92.12194,92.12194,92.12194,92.12194
Democratic People's Republic of Korea,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Democratic Republic of the Congo,,45.14713,45.14713,45.14713,45.14713,45.14713,45.14713,45.14713,45.14713,52.24731,52.24731,52.24731,52.24731,52.24731,52.24731,52.24731,52.24731,52.24731,58.28379,58.28379
Denmark,,99.96296,99.96296,99.96296,99.96296,99.96296,99.96296,99.96296,99.96296,99.96296,99.96296,99.96296,99.96296,99.96296,99.96296,99.96296,99.96296,99.96296,99.96296,99.96296
Developing regions,,20.9254,21.93721,22.93524,23.60116,24.8107,25.66408,26.27141,26.61859,27.22334,28.13953,28.48583,28.94316,30.02395,30.55497,30.70955,30.81116,30.82453,31.02515,31.04363
Djibouti,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dominica,,0.09915,0.09915,0.09915,0.09915,0.09915,0.09915,0.09915,0.09915,0.09915,0.09915,0.09915,0.09915,0.09915,0.09915,0.09915,0.09915,0.09915,0.09915,0.09915
Dominican Republic,,0,0,21.46278,21.46278,98.85171,98.85171,98.85171,98.85171,98.85171,98.85171,98.85171,98.85171,98.85171,98.85171,98.85171,98.85171,98.85171,98.85171,98.85171
Eastern and South-Eastern Asia,,27.94553,29.28886,31.06827,31.32265,33.02812,33.98687,34.17102,34.45483,34.97906,35.48829,35.68698,36.31709,36.51974,36.93636,37.15757,37.27296,37.27837,37.56453,37.63415
Eastern Asia,,29.66359,31.65715,33.2308,33.24321,34.29575,35.56621,35.61311,35.83468,36.61304,37.03243,37.31326,37.86491,37.87288,38.47779,38.47779,38.55773,38.55773,38.96319,39.06183
Ecuador,,70.89595,70.89595,70.89595,70.89595,70.89595,70.89595,70.89595,70.89595,70.89595,70.89595,70.92977,70.92977,70.92977,70.92977,70.92977,70.92977,70.92977,70.9377,70.9377
Egypt,,28.48703,28.48703,28.48703,28.48703,28.48703,28.48703,28.48703,28.48703,28.48703,28.48703,28.48703,28.48703,28.48703,28.48703,28.48703,28.48703,28.48703,28.48703,28.48703
El Salvador,,0,0,0,0,0,48.61627,48.61627,48.74489,48.74489,59.79247,81.58116,81.58116,81.58116,81.58116,81.58116,81.58116,81.58116,81.58116,81.58116
Eritrea,,0.02553,0.02553,0.02553,0.02553,0.02553,0.02553,0.02553,0.02553,0.02553,0.02553,0.02553,0.02553,0.02553,0.02553,0.02553,0.02553,0.02553,0.02553,0.02553
Estonia,,15.08913,15.0996,15.10502,23.43996,93.30641,93.3066,93.30665,93.30666,93.30723,93.32117,93.32117,93.32117,93.32244,93.33603,93.52693,93.52693,93.5272,93.5272,93.5272
Ethiopia,,16.18036,16.18036,16.18036,16.18036,16.18036,16.18036,16.18036,16.18036,16.18036,16.18036,16.18036,16.18036,16.18036,16.18036,16.18036,16.18036,16.18036,16.18036,16.18036
Europe,,42.24696,43.92392,45.57729,46.84584,51.24811,52.67577,54.01111,56.57146,57.29343,57.38743,57.53697,57.88162,58.03165,58.6592,58.8952,58.92141,58.92211,58.92313,58.92313
Europe and Northern America,,39.43227,40.98162,42.47349,43.64725,47.51786,48.98796,50.17746,52.45646,53.15451,53.24158,53.42996,53.75184,53.91772,54.46917,54.68125,54.7043,54.72274,54.72362,54.72362
Fiji,,0,0,0,0,0.12801,0.12801,0.12801,0.12801,0.12801,0.12801,0.12801,0.12801,0.12801,0.12801,0.12801,0.12801,0.12801,0.12801,0.12801
Finland,,71.57179,71.59704,72.11169,72.21788,73.98919,74.01163,74.02006,74.02009,74.02087,74.02144,74.02144,74.02249,74.02255,74.02259,74.02289,74.02289,74.02289,74.02289,74.02289
France,,49.72091,51.8356,55.05906,57.55117,61.51943,68.31451,77.09955,77.1021,77.17568,77.17598,77.17609,77.17645,77.17647,77.99937,77.99937,77.99937,77.99937,78.00331,78.00331
Gabon,,0,0,93.6078,93.6078,93.6078,93.6078,93.6078,93.6078,93.6078,93.6078,93.6078,93.6078,93.6078,93.6078,93.6078,93.6078,93.6078,93.6078,93.6078
Georgia,,1.42899,1.42899,1.42899,3.15537,3.15537,3.15537,3.15537,3.15537,3.15537,3.15537,3.15537,36.12498,36.12498,36.12498,36.12498,36.12498,36.12498,36.12498,36.12498
Germany,,60.24521,66.01276,66.97145,68.04796,73.10218,73.57619,74.93931,77.40867,80.24061,80.76262,80.81346,80.85317,80.85968,80.91396,81.00201,81.0531,81.0531,81.0531,81.0531
Greece,,60.88645,67.30512,74.98077,75.44035,75.44035,75.44035,80.8584,80.8608,81.71961,81.71961,87.23627,87.23627,87.23627,87.23627,87.23627,87.23627,87.23627,87.23627,87.23627
Guatemala,,18.67227,18.67227,18.677,19.55305,19.55305,19.55305,24.79439,24.80959,24.8097,24.81458,24.81477,24.81588,24.81588,24.81588,24.81588,24.81588,24.81588,24.81588,24.81588
Guinea,,98.51398,98.51398,98.51398,98.51398,98.51398,98.51398,98.51398,98.51398,98.51398,98.51398,98.51398,98.51398,98.51398,98.51398,98.51398,98.51398,98.51398,98.51398,98.51398
Haiti,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hungary,,52.44236,52.96741,52.96741,56.32773,81.63418,81.63418,81.63422,81.63422,81.63423,81.63531,84.83155,84.89711,84.89711,84.89711,84.89711,84.89711,84.89711,84.89711,84.89711
Iceland,,20.99931,20.99931,20.99931,20.99931,20.99931,31.64028,31.64028,31.64028,31.64028,31.64028,31.64028,31.64028,31.64028,33.92267,33.92267,33.92267,33.92267,33.92267,33.92267
India,,13.15681,13.15681,14.99941,14.99941,14.99941,15.09319,15.09319,15.09319,15.09319,15.09319,15.09319,15.09319,15.09319,15.09319,15.09319,15.09319,15.11705,15.11705,15.11705
Indonesia,,11.79298,11.79298,11.79298,11.79298,11.79298,11.79298,17.78871,17.78871,17.78871,23.00765,23.00765,30.13942,35.48936,35.49198,35.49198,35.49198,35.49198,35.49198,35.49198
Iran (Islamic Republic of),,30.37952,32.82883,32.83588,34.74164,34.74164,34.74164,34.74164,34.74164,34.74164,34.74164,36.24149,36.24149,36.24149,36.24149,36.24149,36.24149,36.24149,36.24149,36.24149
Iraq,,0,0,0,0,0,0,0,1.94316,1.94316,1.94316,1.94316,1.94316,1.94316,3.18591,4.96019,4.96019,5.06484,5.06484,5.06484
Ireland,,88.75801,88.75801,88.75801,97.39115,97.39115,97.70446,97.70446,97.70446,97.70947,97.70947,97.70947,97.70947,97.70947,97.70947,97.70947,97.70947,97.70947,97.70947,97.70947
Israel,,13.68611,13.68611,13.70435,23.20765,23.22161,23.27662,23.27877,24.47399,24.47399,26.1252,26.1252,26.12873,26.12873,26.12873,26.12873,26.12873,26.12873,26.12873,26.12873
Italy,,74.65249,74.65249,76.77864,79.97201,80.37053,80.88944,81.14828,84.69016,84.69016,84.69016,84.69016,84.69016,84.69016,84.69016,84.69028,84.69028,84.69028,84.69028,84.69028
Japan,,60.842,60.842,60.84985,60.87382,61.117,66.17159,66.17159,66.17252,66.80987,66.80987,66.80987,66.80987,66.80987,67.01431,67.01431,67.01431,67.01431,67.01431,67.01431
Jordan,,8.69312,8.69312,8.69312,8.69312,8.69312,8.69312,8.69312,8.69312,8.69312,8.69312,9.76567,9.76567,9.76567,9.76567,9.76567,9.76567,9.76567,9.76567,9.76567
Kazakhstan,,8.09237,8.09237,8.09237,8.09237,8.09237,8.09237,8.09237,8.09237,8.85957,15.2323,15.2323,15.2323,16.9985,16.9985,16.9985,16.9985,16.9985,16.9985,16.9985
Kenya,,24.06685,24.14727,26.87115,26.87115,26.87115,26.95254,27.12213,27.12213,27.12213,27.4439,33.45868,34.39081,34.39081,34.39081,34.39081,34.39081,34.39081,34.39081,34.39081
Kyrgyzstan,,35.40497,35.40497,35.40497,35.40497,35.40497,36.30812,36.30812,36.30812,36.30812,36.30812,36.30812,36.66188,36.66188,36.66188,36.66188,36.66188,36.66188,36.66188,36.66188
Landlocked developing countries (LLDCs),,22.03494,23.24061,23.52999,24.14892,26.07739,27.09914,28.39685,28.49332,29.35089,30.77015,30.98051,31.01084,31.36692,31.78542,31.87782,31.87986,31.87986,32.15113,32.15113
Lao People's Democratic Republic,,19.90486,19.90486,19.90486,19.90486,19.90486,19.90486,19.90486,19.90486,19.90486,19.90486,19.90486,19.90486,19.90486,19.90486,19.90486,19.90486,19.90486,19.90486,19.90486
Latin America and the Caribbean,,21.94557,22.59259,23.63224,23.9314,25.24237,26.81539,27.14849,27.15893,27.88187,31.0994,31.95143,33.13643,33.2848,34.62344,34.62753,35.26063,35.3172,35.96143,35.96143
Latvia,,53.6122,53.61259,79.02505,89.98136,97.47717,97.47717,97.47717,97.47717,97.47717,97.47717,97.47717,97.47717,97.47717,97.47717,97.47717,97.47717,97.47717,97.47717,97.47717
Least Developed Countries (LDCs),,28.80712,29.73048,29.90469,31.31713,34.18181,35.6985,37.80489,38.44018,38.80976,39.00924,39.31836,39.31836,39.31838,39.32302,39.43729,39.44087,39.44722,39.64258,39.64259
Lebanon,,21.0621,21.0621,21.0621,21.0621,21.0621,21.0621,21.0621,21.0621,21.0621,21.0621,21.0621,21.0621,21.0621,21.0621,21.0621,21.0621,21.0621,21.0621,21.0621
Liberia,,0,0,0,32.41578,32.41578,32.41578,32.41578,32.41578,32.41578,32.41578,32.41578,32.41578,32.41578,32.41578,32.41578,32.41578,32.41578,32.41578,32.41578
Lithuania,,42.63254,42.63254,45.61808,45.61808,71.71586,95.19714,95.19714,95.19714,95.19714,95.19715,95.19715,95.19818,95.19818,95.19818,95.19818,95.19818,95.19818,95.19818,95.19818
Luxembourg,,0,0,37.13102,37.13102,37.13103,37.13103,37.13103,37.13103,37.13103,37.13103,37.13103,37.13103,37.13103,37.13103,37.13103,37.13103,37.13103,37.13103,37.13103
Madagascar,,43.53389,43.53389,43.53389,50.2167,50.2167,56.74482,56.74482,56.93652,56.93652,56.94793,56.94793,56.94793,56.94793,56.94793,56.94793,56.9855,56.9855,57.40171,57.40171
Malawi,,44.73972,44.73972,44.73972,44.73972,44.73972,44.73972,44.73972,44.73972,44.73972,44.73972,44.73972,44.73972,44.73972,44.73972,44.73972,44.73972,44.73972,44.73972,44.73972
Malaysia,,67.59564,67.59564,67.59564,67.59564,67.59564,67.59564,67.59564,67.59564,68.02112,68.02112,68.02112,68.02112,68.02112,68.02112,68.02112,68.02112,68.02112,68.02112,68.02112
Mali,,0,0,0,0,43.7186,43.7186,43.7186,43.7186,43.7186,43.7186,43.7186,43.7186,43.7186,43.7186,43.7186,43.7186,43.7186,43.7186,43.7186
Mayotte,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Mexico,,5.41202,5.68497,7.11301,7.11301,9.78676,9.81875,9.82039,9.82607,10.02319,15.06281,15.06537,15.06537,15.07933,15.07933,15.08223,15.08412,15.08525,15.0984,15.0984
Mongolia,,30.68952,30.68952,30.68952,30.69248,36.67501,36.67501,36.67501,36.67501,36.67501,36.67501,38.76647,39.02961,39.08894,39.08894,39.08894,39.08894,39.08894,42.10852,42.10852
Morocco,,0.03205,0.03205,0.03205,6.29569,12.94228,21.93106,21.93106,21.93106,28.0187,28.0187,28.0187,28.0187,82.58013,82.58013,82.58013,82.58013,82.58013,82.58013,82.58013
Mozambique,,90.046,90.046,90.046,90.046,90.046,90.046,90.046,90.046,90.046,90.046,90.046,90.046,90.046,90.046,90.046,90.046,90.046,90.046,90.046
Myanmar,,14.58879,14.58879,14.58879,17.81717,27.60734,27.78142,27.78142,27.78142,27.78142,27.78142,27.78761,27.78761,27.78761,27.78761,27.78761,27.78761,27.85544,27.85544,27.85551
Namibia,,48.26557,48.26557,48.26557,50.45317,50.45317,53.59502,64.99648,76.11362,76.11362,77.37996,77.37996,78.86191,85.28327,85.35525,85.35525,85.35525,85.35525,85.35525,85.35525
Nepal,,21.92875,21.92875,21.92875,28.99681,35.66762,35.66762,35.66762,35.66762,35.66762,35.66762,36.45967,36.45967,36.45967,36.45967,36.45967,36.45967,36.45967,36.45967,36.45967
Netherlands,,92.40546,92.40546,92.40623,92.43157,92.81597,92.81597,93.35827,93.35827,93.35827,93.35827,93.35832,93.35832,93.35832,93.35832,93.35841,93.35841,93.35841,93.35841,93.35841
New Zealand,,21.85096,21.85264,21.85264,21.8939,21.98406,22.79086,25.14357,25.23861,25.71287,27.73715,27.73715,27.73715,27.97678,28.42422,28.48017,29.17976,29.3416,29.34491,29.34491
Nicaragua,,65.49679,65.81089,65.81089,65.81089,65.81089,65.81089,65.81089,65.81089,65.81089,65.81089,65.81089,65.81089,65.81089,65.81089,65.81089,65.81089,65.81089,65.81089,65.81089
Niger,,8.95968,27.14149,27.14149,27.14149,27.14149,45.32331,45.32331,45.32331,45.32331,45.32331,45.32331,45.32331,45.32331,45.32331,45.32331,45.32331,45.32331,45.32331,45.32331
Nigeria,,12.05356,12.05356,12.05356,12.05356,12.05356,12.05356,12.05356,12.05356,59.07547,59.07547,59.07547,59.07547,59.07547,59.07547,59.07547,59.07547,59.07547,59.07547,59.07547
North Macedonia,,93.53851,93.53851,93.53851,93.53851,93.53851,93.53851,93.53851,93.63817,93.63817,93.63817,93.63817,93.63817,93.63817,93.63817,93.63817,93.63817,93.63817,93.63817,93.63817
Northern Africa,,12.55819,14.23924,14.23924,17.42449,23.60426,25.77396,25.77396,28.09441,29.56385,29.56385,29.56447,29.96014,49.37283,50.8574,50.8574,50.8574,50.8574,50.8574,50.8574
Northern Africa and Western Asia,,7.21479,8.03713,8.08982,9.78453,11.19644,11.73035,11.73041,12.54567,12.88121,13.12545,13.1467,13.88616,18.31898,18.87583,19.10635,19.10635,19.11994,19.11994,19.11994
Northern America,,19.11364,19.75132,20.12169,20.77381,20.98517,22.72328,22.83387,23.07289,23.58546,23.67847,24.18086,24.29031,24.308,24.31417,24.31505,24.31505,24.46123,24.46123,24.46123
Norway,,53.71567,53.71567,54.03662,54.03662,54.77554,54.77554,54.77554,54.77554,54.77554,54.77554,54.8774,55.49665,55.49665,55.4969,55.86996,55.87003,55.87003,55.87003,55.87003
Oceania,,21.2938,22.66518,25.0041,25.21512,25.40834,25.70393,26.49762,26.8784,27.08112,28.7716,28.80226,28.9368,29.29989,29.54293,33.17149,33.41266,33.67607,33.67719,33.67719
Oceania (exc. Australia and New Zealand),,0,0,0,0,0.12801,0.12801,0.12801,0.12801,0.12801,0.12801,0.12801,0.12801,0.12801,0.12801,0.12801,0.12801,0.12801,0.12801,0.12801
Pakistan,,36.28341,36.95486,36.95486,36.95486,36.95486,36.95486,36.95486,36.95486,36.95486,36.95486,36.95486,36.95486,36.95486,36.95486,36.95486,36.95486,36.95486,36.95486,36.95486
Paraguay,,5.23075,20.5297,20.5297,21.64547,22.1441,38.68947,38.68947,38.68947,38.68947,38.68947,38.68947,38.68947,38.68947,38.68947,38.68947,38.83379,38.83379,38.83379,38.83379
Peru,,45.3518,45.3518,45.3518,45.3518,45.3518,45.3518,48.79573,48.79573,48.79573,48.79573,48.79573,48.79573,48.79573,48.7709,48.7709,48.7709,48.7709,48.7709,48.7709
Philippines,,36.46771,36.46771,36.46771,36.46771,36.46771,36.46771,36.46771,36.46771,36.46771,36.46771,36.46771,36.46771,36.46771,36.46771,36.46771,36.46771,36.46771,36.46771,36.46771
Poland,,55.75073,60.85368,62.31666,64.22615,73.81284,73.8137,73.8137,87.13522,91.63896,91.82919,91.82919,91.82919,91.83029,91.83029,91.83029,91.83029,91.83029,91.83029,91.83029
Portugal,,55.82853,56.98721,56.98721,56.98721,56.98721,56.98721,56.98721,56.98721,63.47045,63.98532,63.98532,63.98532,63.98532,63.98532,63.98532,63.98532,63.98532,63.98532,63.98532
Republic of Korea,,29.69936,29.69936,29.69936,29.69936,29.71424,29.71424,29.7197,29.72007,36.77456,36.77456,36.77456,36.77456,36.77456,36.78185,36.78185,36.78185,36.78185,36.78185,36.78185
Republic of Moldova,,10.7689,10.7689,10.7689,10.7689,10.7689,10.7689,10.7689,10.7689,10.7689,10.7689,10.7689,10.7689,10.7689,10.7689,10.7689,10.7689,10.7689,10.7689,10.7689
Romania,,6.97321,7.10066,7.10066,7.10066,7.10066,11.50732,32.40641,58.3866,58.3866,58.3866,58.3866,62.07833,63.68855,65.92372,65.92372,65.92372,65.94255,65.94255,65.94255
Russian Federation,,27.24255,27.24255,27.24255,27.27103,27.27103,27.27103,27.27103,27.27103,27.27103,27.27103,27.27103,27.27103,27.27103,27.27103,27.27103,27.27103,27.27103,27.27103,27.27103
Rwanda,,41.8891,41.8891,41.8891,41.8891,41.8891,49.95643,49.95643,49.95643,49.95643,49.95643,49.95643,49.95643,49.95643,49.95643,49.95643,49.95643,49.95643,49.95643,49.95643
Sao Tome and Principe,,0,0,0,0,0,0,39.77325,39.77325,39.77325,39.77325,39.77325,39.77325,39.77325,39.77325,39.77325,39.77325,39.77325,39.77325,39.77325
Saudi Arabia,,17.67407,17.67407,17.67407,17.67407,17.67407,17.67407,17.67407,17.67407,17.67407,17.67407,17.67407,17.67407,17.67407,17.67407,17.67407,17.67407,17.67407,17.67407,17.67407
Serbia,,24.6213,25.12554,25.12554,25.12554,25.30383,26.15573,29.44815,29.6973,30.71398,30.71398,30.71398,30.71398,31.22409,31.34153,31.46507,31.50048,31.50048,31.50048,31.50048
Sierra Leone,,49.99831,49.99831,49.99831,49.99831,49.99831,49.99831,49.99831,49.99831,49.99831,49.99831,72.46512,72.46512,72.46512,72.46512,72.46512,72.46512,72.46512,72.46512,72.46512
Slovakia,,46.71378,46.71378,46.71378,46.71378,81.35553,81.35553,81.35553,81.35553,81.35553,81.35568,81.35569,81.35576,81.35605,81.35605,81.35605,81.35605,81.35605,81.48158,81.48158
Slovenia,,10.58063,10.58063,27.43394,27.43394,77.41466,77.41466,77.41466,77.41466,77.48455,77.48455,77.48455,77.48455,77.48455,77.48606,77.48606,77.48606,77.48606,77.48606,77.48606
Small island developing States (SIDS),,6.51268,7.11144,9.49619,9.49619,18.10208,18.10208,20.3117,20.31172,20.31172,20.31172,25.82447,25.82447,25.88332,25.88332,25.88332,25.88332,25.88332,25.88332,25.88332
Somalia,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Africa,,26.78074,26.88188,26.89747,26.89747,26.89747,30.41493,30.41493,30.41493,30.41493,30.41493,30.53548,30.53548,30.53548,33.79211,35.45429,35.49936,35.55269,35.8098,35.8098
South Sudan,,43.59742,43.59742,43.59742,43.59742,43.59742,43.59742,58.5935,58.5935,58.5935,58.5935,58.5935,58.5935,58.5935,58.5935,58.5935,58.5935,58.5935,58.5935,58.5935
South-Eastern Asia,,23.76125,23.78141,26.04903,26.92452,30.24519,30.29854,30.85746,31.31648,31.3309,31.88782,31.8895,32.55433,33.22392,33.22416,33.97593,34.1917,34.2101,34.2101,34.21012
Southern Asia,,19.98262,20.50796,21.54063,22.22689,22.52558,22.57807,22.57807,22.58784,22.81779,22.85685,23.18846,23.18846,23.20229,23.46228,23.60811,23.60811,23.62146,23.62146,23.62146
Spain,,35.81785,38.454,40.18169,41.95537,44.50405,45.11557,45.24036,45.34601,45.34601,45.35009,45.37021,46.03073,46.03423,46.03423,46.05253,46.05258,46.0561,46.0561,46.0561
Sri Lanka,,34.75764,34.75764,34.75764,34.75764,34.75764,34.75764,34.75764,34.93212,34.95463,35.65258,35.74425,35.74425,35.99095,40.63612,40.63612,40.63612,40.63612,40.63612,40.63612
State of Palestine,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sub-Saharan Africa,,34.02762,35.453,36.42396,37.44979,39.11218,41.41475,43.9735,44.69099,45.22758,45.44949,46.11606,46.21705,47.0183,47.64374,47.79684,47.8047,47.80961,48.05308,48.05308
Sudan,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Suriname,,49.40396,49.40396,49.40396,49.40396,49.40396,49.40396,49.40396,49.40396,49.40396,49.40396,49.40396,49.40396,49.40396,49.40396,49.40396,49.40396,49.40396,49.40396,49.40396
