GeoAreaCode,GeoAreaName,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
116,Cambodia,,,,,,0.96,0.53,0.3,2.12,1.78,0.51,0.42,0.77,1.04,1.93,0.82,0.97,1.76,1,0.41
120,Cameroon,,,,,,13.8,4.55,8.19,15.49,5.25,12.35,7.56,6.06,8.92,10.53,15.57,7.75,5.95,10.15,7.41
124,Canada,,,,,,1.73,1.49,1.64,2.06,1.9,1.56,1.66,1.73,1.39,1.97,1.77,1.16,1.58,1.59,1.68
136,Cayman Islands,,,,,,0.03,0.07,0.02,0.02,0.05,0.04,0.02,0.03,2.69,0.04,0.04,0.18,0.11,0.03,0.09
152,Chile,,,,,,4.09,5.08,7,6.46,5.08,6.02,5.55,8.6,8.08,4.67,3.39,5.81,5.58,4.13,5.26
156,China,,,,,,3.26,3.65,4.05,4.13,4.69,3.57,4.44,4.22,4.45,5.05,4.15,3.29,5.58,7.25,6.33
162,Christmas Island,,,,,,0.82,0.03,0.1,0.72,0.16,7.77,0.67,2.37,1.63,3.56,0.47,19.24,0.33,3.18,0.67
166,Cocos (Keeling) Islands,,,,,,1.32,0.32,0.09,0.19,0.09,2.69,0.1,1.32,2.2,3.28,0.78,3.24,0.42,0.26,0.56
170,Colombia,,,,,,6.47,2.54,2.25,3.71,2.89,8.12,3.51,4.05,6.23,6.18,5.62,5.27,4.26,3.85,4.87
174,Comoros,,,,,,0.33,0.14,0.69,1.91,2.27,0.17,8.24,0.36,0.95,2.89,2.65,0.35,0.6,0.6,1.02
178,Congo,,,,,,19.27,10.37,21.04,19.96,15.76,17.62,21.57,16.45,17.22,21.75,25.46,12.83,12.47,15.25,22.93
184,Cook Islands,,,,,,8.37,15.36,5.99,0.33,0.05,0.44,0.06,0.19,1.74,0.58,1.09,11.33,10.56,3.7,1.68
188,Costa Rica,,,,,,5.86,6.21,3.72,6.57,6.12,12.18,1.81,7.83,2.93,13.95,18.64,10.18,5.22,11.27,15.22
384,Côte d'Ivoire,,,,,,5.25,3.15,3.81,4.88,4.49,5.03,2.81,6.71,6.82,6.19,4.66,4.37,5.68,9.05,5.09
191,Croatia,,,,,,2.87,4.68,3.31,3.38,2.68,1.09,2.51,2.24,2.19,4.66,1.6,1.76,2.9,3.02,3.01
192,Cuba,,,,,,0.06,0.1,0.09,0.25,0.46,0.08,0.14,0.23,0.62,0.38,0.25,0.28,0.97,0.26,0.39
531,Curaçao,,,,,,0.88,8.69,0.28,1.56,0.34,1.44,1.69,7.41,8.36,7.67,7.45,6.87,4.06,2.81,5.41
196,Cyprus,,,,,,0.02,,0.02,,,,0.15,0.02,0.02,0.04,0.02,0.02,,0.02,
408,Democratic People's Republic of Korea,,,,,,4.3,6.75,1.68,5.01,5.03,4.49,3.86,6.32,2.73,8.39,4.05,2.61,0.68,4.39,1.89
180,Democratic Republic of the Congo,,,,,,23.79,14.31,27.87,23.11,19.69,22.13,26.93,21.48,17.09,22,24.87,16.54,18.4,14.83,27.94
208,Denmark,,,,,,1.61,6.15,1.96,0.8,12.47,7.48,7.53,2.42,6.27,4.22,1.5,2.44,8.77,7.88,5.78
262,Djibouti,,,,,,37.5,24.36,47.12,54.7,47.44,43.91,17.09,2.56,61.97,42.74,32.53,8.46,16.24,66.67,44.87
212,Dominica,,,,,,13.44,10.13,6.58,8.47,4.05,0.33,12.42,6.29,5.59,4.52,6.34,8.79,4.21,7.79,2.91
214,Dominican Republic,,,,,,3.2,1.78,0.73,1.61,0.88,0.47,0.09,0.75,4.29,1.95,0.97,3.93,1.01,0.86,3.88
218,Ecuador,,,,,,11.2,8.83,13.59,20.03,12.88,11.68,13.78,15.09,6.88,12.27,13.32,10.42,10.66,14.93,14.45
818,Egypt,,,,,,0.59,0.9,0.11,0.45,0.42,1.76,0.34,0.26,1.3,1.38,0.37,0.53,0.43,1.23,0.37
222,El Salvador,,,,,,38.66,23.58,34.31,29.97,31.51,52.68,12.09,29.34,8.9,42.13,57.38,58.26,41.91,35.15,60.51
226,Equatorial Guinea,,,,,,3.8,3.19,3.99,7.61,2.06,4.01,4.11,11.85,10.13,10.21,7.39,9.86,8.24,10.58,12.44
232,Eritrea,,,,,,5.26,5.53,7.45,7.39,6.4,11.79,3.95,1.44,3.98,2.65,5.64,2.72,6.22,5.76,10.15
233,Estonia,,,,,,1.87,3.01,2.25,1.25,2.67,1.56,0.97,2.44,1.82,2.4,2.01,2.54,2.07,1.9,4.39
234,Faroe Islands,,,,,,14.38,15.62,16.64,12.62,9.88,10.37,7.48,13.07,19.63,8.94,9.35,9.11,7.82,6.74,8.31
242,Fiji,,,,,,1.58,1.9,1.1,1.66,3.36,2.27,1.96,4.78,1.97,2.25,0.97,0.55,1.74,1.1,1.62
246,Finland,,,,,,1.09,1.73,2.35,2.37,2.41,1.1,0.85,2.07,1.61,1.69,0.99,1.3,1.46,0.9,1.48
250,France,,,,,,5.06,5.58,2.43,3.17,1.75,2.52,4.02,4.22,6.16,6.86,2.32,2.81,4.1,3.91,2.84
254,French Guiana,,,,,,21.09,15.02,15.72,15.02,11.75,11.97,12.54,20.24,25.09,19.79,23.7,20.81,18.57,18.98,20.66
258,French Polynesia,,,,,,17.15,3.43,2.81,1.24,0.49,0.78,0.29,0.49,0.34,0.58,0.48,9.46,8.81,2.47,0.64
266,Gabon,,,,,,16.57,15.94,18.21,20.41,10.83,19.04,20.15,15.66,13.11,12.5,16.35,11.96,12.88,19.27,18.2
270,Gambia,,,,,,13.92,14.54,7.35,19.54,4.25,13.37,12.06,8.94,25.24,5.31,3.03,14.82,5.97,4.64,6.5
268,Georgia,,,,,,0.44,1.26,0.24,1.81,1.81,3.3,0.73,2.3,3.07,5.15,0.63,0.97,2.52,10.94,2.04
276,Germany,,,,,,5.39,4.88,1.96,6.62,6.51,9.48,3.13,4.76,6.36,8.13,3.26,3.07,6.68,7.93,5.63
288,Ghana,,,,,,1.86,1.87,2.95,0.98,1.67,3.11,1.13,6.39,5.53,4.93,4.12,5.15,4.06,6.67,4.85
300,Greece,,,,,,0.02,0.04,0.06,0.02,0.03,0.06,0.02,0.03,0.4,0.37,0.02,0.13,0.16,0.05,0.01
304,Greenland,,,,,,2.08,1.65,1.42,3.04,2.3,1.82,2.02,2.43,2.33,1.87,1.86,1.61,2.14,2.54,2.79
308,Grenada,,,,,,5.34,2.37,3.1,12.15,14.88,2.08,9.85,5,9.77,13.39,9.73,5.88,2.56,10.68,10.22
312,Guadeloupe,,,,,,13.03,15.97,5.33,9.95,1.24,0.2,11.03,8.41,4.77,5.29,2.25,11.56,5.75,7.85,2.71
316,Guam,,,,,,0.08,0.1,0.12,0.18,0.09,0.16,0.18,0.53,0.74,0.4,0.1,0.15,0.7,0.17,0.76
320,Guatemala,,,,,,20.74,14.01,19.35,11.13,24.18,21.11,4.89,16.26,9.76,29.43,49.88,29.81,20.11,26.71,40.61
831,Guernsey,,,,,,14.44,10.59,25.42,8,5.08,0.68,12.97,10.79,18.19,10.17,11.66,15.08,14.52,18.03,14.12
324,Guinea,,,,,,11.37,9.76,10.88,10.63,10.6,8.33,5.27,11.54,11.68,9.3,4.45,9.18,3.7,7.8,10.72
624,Guinea-Bissau,,,,,,7.45,6.47,7.4,7.83,2.2,5.74,4.66,5.74,9.05,4.88,2.77,8.37,5.33,3.04,4.92
328,Guyana,,,,,,4.2,4.68,3.85,7.27,5.08,3.17,3.56,11.27,10.09,12.32,7.82,11.58,8.57,10.11,11.82
332,Haiti,,,,,,5.02,0.33,0.37,2.92,0.33,0.5,0.07,0.67,3.52,1.47,0.14,2.56,1.48,0.37,3.07
334,Heard Island and McDonald Islands,,,,,,5.06,1.47,3.47,3.06,7.05,2.73,3.23,5.26,3.61,5.85,6.34,1.88,4.04,4.62,7.86
340,Honduras,,,,,,0.84,0.79,0.45,0.56,0.93,0.46,0.76,1.25,1,0.8,0.52,0.72,0.87,1.2,1.8
352,Iceland,,,,,,7.22,13.21,8.88,4.36,7.58,6.83,7.97,4.51,6.55,3.78,8.89,3.29,4.67,8.87,3.45
356,India,,,,,,4.62,7.6,7.38,6.85,6.25,5.67,7.92,8.43,4.58,8.96,11.07,4.07,5.54,4.21,6.72
360,Indonesia,,,,,,2.74,1.89,2.64,3.24,3.39,8.4,2.94,3.74,6.59,4.74,2.35,9.56,4.57,4.39,2.86
364,Iran (Islamic Republic of),,,,,,7.48,4.72,14.09,9.05,10.87,13.38,8.97,9.47,14.04,10.16,11.42,12.03,8.54,8.38,16.72
368,Iraq,,,,,,,,,,,25,20,80,7.5,32.5,47.5,15,12.5,40,10
372,Ireland,,,,,,4.62,14.78,9.89,10.96,5.09,9.39,8.34,7.81,22.79,23.1,9.38,18.64,12.6,15.78,15.56
376,Israel,,,,,,0.5,0.27,0.64,0.71,0.5,0.23,0.82,1.09,0.18,7.1,0.32,0.18,0.27,1.09,0.36
380,Italy,,,,,,0.54,1.05,0.73,0.61,0.32,0.12,0.38,0.68,0.73,0.96,0.43,0.67,0.85,0.76,0.6
388,Jamaica,,,,,,0.54,0.13,0.18,0.21,0.86,0.47,0.14,0.43,1.92,0.72,0.22,0.93,1.83,0.95,2.31
392,Japan,,,,,,1.25,1.14,2.05,1.64,1.71,2.1,2.11,2.71,3.1,1.49,2.24,2.71,2.06,2.4,3.68
832,Jersey,,,,,,12.12,21.59,27.27,77.27,10.23,2.27,11.36,7.58,2.27,5.68,,2.27,2.27,11.36,2.27
404,Kenya,,,,,,4.68,10.1,1.84,14.8,8.68,1.63,35.52,9.83,7.98,6.3,12.05,4.08,6.9,2.79,9.39
414,Kuwait,,,,,,1.17,1.37,,3.23,3.15,1.98,3.85,7.79,10.12,10.32,7.29,3.91,11.14,7.56,6.07
428,Latvia,,,,,,1.03,1.13,2.68,3.44,2.3,0.87,0.84,6.45,0.59,3.36,3.68,3.56,3.26,4.37,3.26
199,Least Developed Countries (LDCs),,,,,,,,,,,,,,,,11.36,10.23,10.44,8.47,14.29
422,Lebanon,,,,,,0.67,,0.85,,,0.24,2.26,0.67,0.97,16.42,,,2.91,0.61,0.18
430,Liberia,,,,,,3.77,2.22,2.7,4.18,2.81,3.1,2.48,5.33,4.96,4.38,2.84,3.49,2.8,5.87,3.27
434,Libya,,,,,,0.04,0.02,0.01,0.03,0.01,0.03,0.02,0.13,0.25,0.02,0.02,0.02,0.05,0.04,0.05
440,Lithuania,,,,,,0.5,2.9,2.32,3.23,2.49,4.1,0.62,0.56,5.22,1.62,0.5,0.5,0.5,2.99,1.12
450,Madagascar,,,,,,1.67,1.5,2.28,2.96,2.67,2.24,4.9,1.86,3.42,3.62,3.96,2.99,2.29,2.23,4.37
458,Malaysia,,,,,,3.57,3.6,1.32,3.24,2.56,3.81,2.77,5.26,4.97,5.31,3.24,5.61,4.13,5.58,5.69
462,Maldives,,,,,,0.17,5.52,0.55,1.61,2.16,0.97,5.78,5.92,2.51,2.52,3.57,1.33,1.72,1.89,8.22
470,Malta,,,,,,0.14,0.18,0.11,0.04,,0.04,,0.04,1.13,0.25,,,0.05,0.04,0.04
584,Marshall Islands,,,,,,0.7,0.86,2.11,0.16,0.21,0.45,0.35,0.51,0.78,2.65,2.88,1.01,1.7,2.27,2.69
474,Martinique,,,,,,14.58,8.11,2.84,7.57,3.85,0.61,14.46,6.97,5.56,4.2,4.3,9.59,7.02,8.99,4.03
478,Mauritania,,,,,,18.93,17.23,6.06,21.07,11.61,34.89,25.52,14.79,10.71,11.1,11.58,23.57,15.74,9.83,16.98
480,Mauritius,,,,,,1.52,0.52,9.03,4.24,3.86,5.52,4.31,2.67,5.15,3.37,3.27,3.4,3.32,6.28,7.26
54,Melanesia,,,,,,5.32,2.07,6.15,2.14,2.11,4.42,4.36,4.31,4.62,8.62,1.66,9.12,7.11,11.02,6.77
484,Mexico,,,,,,4.16,3.4,3.33,2.32,5.24,3.51,2.27,4.94,5.25,6.81,9.53,9.9,6.21,8.14,9.44
57,Micronesia,,,,,,0.97,0.88,1.89,2.32,1.19,2.78,2.75,1.74,3.04,2.83,1.32,2.59,2.43,1.95,1.79
583,Micronesia (Federated States of),,,,,,1.77,0.82,2.62,1.53,0.73,2.14,3.61,1.34,3.37,4.35,1.26,4.72,3.31,1.84,1.74
492,Monaco,,,,,,53.85,76.92,,,,,30.77,15.38,73.08,61.54,46.15,23.08,46.15,53.85,
499,Montenegro,,,,,,7.48,,1.18,1.18,,,3.54,0.79,,1.97,,,3.94,0.39,0.79
500,Montserrat,,,,,,5.89,11.67,,14.81,0.44,0.44,,1.33,2.22,10,,0.44,0.67,0.44,4.3
504,Morocco,,,,,,0.7,1.56,1.34,0.7,1.59,3.85,2.27,1.29,3.56,2.19,1.82,1.37,2.78,1.37,1.68
508,Mozambique,,,,,,0.87,0.7,1.26,1.4,2.58,0.99,2.62,2.5,1.21,2.92,2,1.11,1.39,1.65,3.25
104,Myanmar,,,,,,2.31,2.53,2.63,3.15,3.18,4.46,2.41,1.84,3.97,3.57,2.21,2.76,2.61,3.16,3.2
516,Namibia,,,,,,11.7,13.45,7.97,10.97,9.24,16.44,19.98,11.4,12.8,11.3,10.95,9.69,9.67,14.98,13.89
520,Nauru,,,,,,16.04,4.71,10.85,0.04,10,9.74,0.06,7.98,0.65,27.26,18.27,8.81,3.57,25.08,35.94
528,Netherlands,,,,,,4.76,8.92,2.13,3.17,5.7,5.5,4.92,5.56,4.83,5.14,5.07,4.12,4.57,7.1,5.44
540,New Caledonia,,,,,,1.07,0.64,0.52,1.07,2.29,0.14,1.92,1.81,0.26,1.09,0.24,1.14,0.96,0.53,0.74
554,New Zealand,,,,,,3.48,2.76,3.23,3.45,2.4,2.38,4.61,5.6,3.75,5.15,2.64,4.21,3.57,3.9,1.54
558,Nicaragua,,,,,,11.63,9.31,9.85,12.31,9.79,17.22,3.15,9.17,5.35,14.51,17.53,13.09,10.54,12.23,20.1
566,Nigeria,,,,,,2.89,1.84,2.61,2.11,1.95,2.19,2.6,5.7,4.35,2.57,4.2,3.47,2.83,4.99,3.8
570,Niue,,,,,,1.28,7.33,17.38,17.44,8.41,26.76,23.46,25.98,24.21,13.53,6.91,11.97,14.96,11.53,3.87
574,Norfolk Island,,,,,,0.48,0.08,0.29,0.08,0.13,0.05,0.45,0.41,0.08,0.12,0.1,0.5,0.22,0.46,0.12
578,Norway,,,,,,6.73,5.12,10.44,12.19,6.55,4.63,4.75,7.84,5.6,6.15,3.44,4.54,5.13,4.86,5.36
543,Oceania (exc. Australia and New Zealand),,,,,,5.37,2.09,6.11,2.14,2.11,4.39,4.31,4.27,4.57,8.5,1.65,9.04,7.11,10.86,6.68
512,Oman,,,,,,9.32,10.36,19.64,11.8,21.9,20.26,12.64,15.42,19.01,11.21,15.36,9.3,12.73,10.22,16.33
586,Pakistan,,,,,,5.51,4.64,30.39,14.47,22.13,23.85,17.84,16.65,17.69,17.95,23.26,12.54,9.79,5.86,24.26
585,Palau,,,,,,0.24,1.73,2.38,6.99,3.2,7.46,5.53,3.97,6.24,2.38,1.52,2.54,3.34,3.05,1.23
591,Panama,,,,,,7.06,5.22,3.1,8.04,4.29,10.54,5.86,5.92,4.81,8.26,7.86,5.98,4.81,3.82,4.73
598,Papua New Guinea,,,,,,5.89,2.06,6.75,2.03,1.47,4.52,4.45,3.46,4.86,9.08,1.74,10.23,7.57,12.08,7.31
604,Peru,,,,,,10.52,18.07,13.02,17.94,19.92,14.62,13.39,17.88,12.92,18.82,18.22,16.16,14.98,12.36,15.75
608,Philippines,,,,,,0.44,0.57,1.06,1.95,0.52,1.56,0.68,1.26,1.57,1.05,0.61,0.68,2.16,1.33,1.8
612,Pitcairn,,,,,,0.09,0.35,0.22,0.1,0.06,0.06,0.1,0.05,0.05,0.06,0.06,0.08,0.38,0.14,0.09
616,Poland,,,,,,0.12,1.3,1.58,0.24,4.98,0.26,0.18,0.54,0.24,0.06,0.22,0.81,0.26,2.81,2.18
61,Polynesia,,,,,,9.18,3.89,4.39,2.29,2.08,2.37,1.65,2.18,2.16,2.05,0.9,5.54,7.81,2.48,2.07
620,Portugal,,,,,,1.22,1.3,1.41,1.86,1.99,1.11,1.43,2.21,2.88,1.94,0.29,1.1,2.74,1.81,10
630,Puerto Rico,,,,,,11.76,4.59,2.23,4.93,1.57,1.43,1.45,4.22,7.63,4.93,0.97,4.55,2.32,1.15,5.05
634,Qatar,,,,,,0.81,1.25,3.15,0.47,5.49,0.9,4.4,15.04,7.59,9.15,6.06,5.27,5.65,3.69,10.54
410,Republic of Korea,,,,,,2.52,2.3,1.78,6.06,2.64,1.19,2.94,4.1,3.46,5.59,3.48,1.89,2.99,5.7,4.66
638,Réunion,,,,,,0.31,0.43,0.18,0.8,0.17,0.28,1.06,0.61,3.95,0.59,0.65,0.74,0.79,0.07,0.3
642,Romania,,,,,,12.05,8.56,13.42,9.81,10.86,7.2,20.95,13.35,19.97,14.94,21.55,5.77,8.55,33.28,18.2
643,Russian Federation,,,,,,3.57,3.64,3.92,3.02,3.95,3.02,3.23,3.31,3.59,2.81,2.45,2.7,3.94,3.35,3.29
652,Saint Barthélemy,,,,,,8.75,35,,45,,,,10,53.75,6.25,,18.75,5,,10.83
654,Saint Helena,,,,,,0.25,0.28,0.48,0.97,3.5,0.4,0.7,0.18,0.68,0.85,0.18,0.28,0.46,1.2,1.39
659,Saint Kitts and Nevis,,,,,,1.08,16.76,,8.32,0.36,0.36,0.36,3.23,6.72,19.83,,1.08,7.17,0.36,6.21
662,Saint Lucia,,,,,,13,5.42,4.62,4.61,16.89,7.25,10.06,11.62,16.2,12.17,7.84,8.21,15.98,8.26,10.32
663,Saint Martin (French Part),,,,,,,,,30,,,,,35,100,40,20,15,,30
666,Saint Pierre and Miquelon,,,,,,8.47,4.88,5.61,9.67,3.91,1.65,2.57,2.54,4.37,3.22,12.54,0.17,8.83,2.11,3.94
670,Saint Vincent and the Grenadines,,,,,,6.22,2.99,3.17,5.38,8.43,0.96,6.28,6.61,13.76,16.38,6.99,4.7,7.94,7.86,5.3
882,Samoa,,,,,,2.65,3.09,5.28,2.24,2.06,0.66,1.06,0.44,1.46,2.14,0.61,0.3,6.32,1.42,3.78
678,Sao Tome and Principe,,,,,,1.33,2.06,1.05,1.37,1.19,1.81,1.66,3.74,3.6,3.9,1.63,3.55,2.75,4.41,4.54
682,Saudi Arabia,,,,,,2.66,2.62,3.38,2.2,2.15,3.02,1.71,2.57,3.13,2.89,1.48,1.71,2.84,3.7,3.87
686,Senegal,,,,,,10.61,9.55,4.01,15.12,5.92,19.05,10.37,8.86,19.66,6.28,5.05,12.44,7.82,4.14,8.01
690,Seychelles,,,,,,0.73,1.16,3.87,6.46,4.08,0.89,16.92,2.87,1.75,2.79,4.45,2.16,1.01,0.86,2.86
694,Sierra Leone,,,,,,5.26,4.05,4.22,5.11,5.39,4.37,4.04,5.17,7.28,5.56,2.48,5.3,2.2,5.03,8.43
90,Solomon Islands,,,,,,1.89,2.42,4.73,3.55,8.91,6.6,5.35,17.69,4.39,8.24,1.58,3.98,7.91,10.92,6.66
706,Somalia,,,,,,3.69,9.46,12.72,15.5,10.05,9.3,15.41,14.62,11.11,15.25,16.62,11.07,8.32,8.25,17.74
710,South Africa,,,,,,2.95,2.26,2.45,3.58,3.3,2.56,3.03,4.25,2.94,3.69,2.51,3.63,2.28,2.99,3.77
724,Spain,,,,,,2.67,1.55,3.33,2.88,1.84,2.08,1.48,3.36,4.11,3.84,1.7,2.86,3.39,5.48,9.03
144,Sri Lanka,,,,,,2.51,11.13,5.3,7.61,5.41,2.6,5.64,9.39,2.79,8.33,14.1,5.56,3.91,5.9,14.03
275,State of Palestine,,,,,,,,,,,19.05,,7.14,,,14.29,,,14.29,7.14
202,Sub-Saharan Africa,,,,,,10.43,8.74,9.88,12.75,10.15,11.9,15.67,11.15,10.23,10.65,10.89,9.34,9.31,8.73,12.94
729,Sudan,,,,,,8.69,7.86,5.89,10.07,5.26,9.41,8.48,5.59,9.38,16.1,9.72,11.02,13.85,10.2,11.71
740,Suriname,,,,,,15.8,13.99,12.71,19.23,11.32,10.76,10.5,19.55,16.4,10.95,11.54,17.08,12.47,7.95,11.72
752,Sweden,,,,,,0.27,0.56,0.33,0.45,0.79,1.1,0.22,0.79,0.51,0.27,0.21,0.16,0.29,0.37,0.64
760,Syrian Arab Republic,,,,,,,,,0.88,,4.71,12.94,,,19.12,,3.24,,0.88,
764,Thailand,,,,,,1.61,1.17,0.9,2.06,1.72,2.18,0.82,2.97,2.03,4.22,2.33,3.28,4.72,2.53,1.75
626,Timor-Leste,,,,,,1.1,0.28,2.62,1.03,9.51,5.35,1.35,2.72,3.37,2.42,2,5.21,1.95,1.87,2.05
768,Togo,,,,,,5.73,6.38,6.9,4.24,5.65,3.8,3.87,6.03,6.19,5.34,7.33,3.67,5.08,6.62,5.42
772,Tokelau,,,,,,4.05,35.34,12.46,0.63,0.1,3.53,0.02,0.74,9.56,2.3,2.5,10.9,26.47,6.07,4.28
776,Tonga,,,,,,2.4,2.17,3.45,3.63,9.33,10.19,4.39,10.28,6.21,5.34,2.23,4.54,4.02,3.18,0.89
780,Trinidad and Tobago,,,,,,6.52,9.52,5.15,9.05,14.63,1.63,11.48,11.34,16.3,16.43,12.69,17.12,11.38,13.89,14.75
788,Tunisia,,,,,,0.61,1.92,0.14,0.2,0.37,0.35,0.09,3.57,3.46,1.73,0.71,0.56,1.26,0.34,2.48
792,Turkey,,,,,,2.56,0.14,1.05,1.12,2.97,0.35,1.35,0.39,4.55,0.63,0.63,1.15,0.53,1.21,1.42
796,Turks and Caicos Islands,,,,,,0.04,0.69,0.06,0.15,0.07,0.05,0.05,0.22,0.75,0.41,0.26,1.17,0.32,0.52,0.57
798,Tuvalu,,,,,,1.84,12.98,5.94,0.22,6.04,2.17,0.05,5.84,2.83,0.82,0.92,3.04,18.4,8.57,2.77
784,United Arab Emirates,,,,,,1.44,1.95,2.78,0.76,3.13,2.23,1.47,4.85,4.09,4.18,2.83,3.31,3.83,6.72,6.84
826,United Kingdom of Great Britain and Northern Ireland,,,,,,5.22,10.47,10.86,11.86,6.32,8.69,6.75,9.79,18.65,11.76,6.26,12.37,11.46,12.94,11.24
834,United Republic of Tanzania,,,,,,0.42,1.65,0.71,6.95,7.19,0.23,26.85,3.89,1.71,4.97,4.01,0.7,1.06,1.23,1.49
840,United States of America,,,,,,4.6,4.91,3.99,2.02,3.66,3.01,3.82,6.15,4.62,8.28,11.77,7.9,6.05,7.82,7.78
850,United States Virgin Islands,,,,,,17.52,15.98,20.3,6.05,0.35,6.75,0.7,11.76,14.03,15.66,10.68,11.81,6.26,3.58,7.32
858,Uruguay,,,,,,8.43,8.57,13.07,10.96,15.95,11.65,4.08,7.38,9.5,4.92,5.51,2.34,6.18,11.2,7.78
548,Vanuatu,,,,,,4.24,4.12,3.27,5.4,8.36,5.37,6.12,8.26,6.79,13.27,2.16,4.24,5.39,2.52,3.74
862,Venezuela (Bolivarian Republic of),,,,,,6.7,3.7,2.17,5.32,4.76,5.15,4.79,5.42,9.18,7.62,4.19,7.26,4.45,3.22,6.73
704,Viet Nam,,,,,,2.77,1.8,2.17,3.28,2.09,9.07,1.65,2.96,5.38,4.5,4.13,3.19,4.1,4.36,3.97
876,Wallis and Futuna Islands,,,,,,0.06,5.09,2.45,0.18,0.13,0.06,0.18,0.16,1.65,0.38,0.09,0.09,5.59,1.33,6.75
887,Yemen,,,,,,10.47,8.23,14.05,14.59,14.78,10.45,11.76,10.74,16.6,12.32,16.41,7.03,9.63,7.43,13.81
