"","Country","Year","Value_sum","SDG"
"13","Barbados",2000,4.49068,"14"
"173","Barbados",2001,4.49068,"14"
"333","Barbados",2002,4.49068,"14"
"493","Barbados",2003,4.49068,"14"
"653","Barbados",2004,4.49068,"14"
"813","Barbados",2005,4.49068,"14"
"973","Barbados",2006,3.91268,"14"
"1133","Barbados",2007,1.65268,"14"
"1293","Barbados",2008,4.68868,"14"
"1453","Barbados",2009,1.13068,"14"
"1613","Barbados",2010,1.24268,"14"
"1773","Barbados",2011,3.87468,"14"
"1933","Barbados",2012,3.36167996622911,"14"
"2093","Barbados",2013,2.73974,"14"
"2253","Barbados",2014,1.750358,"14"
"2413","Barbados",2015,1.504976,"14"
"2573","Barbados",2016,3.8563330830058,"14"
"2733","Barbados",2017,3.3079,"14"
"2893","Barbados",2018,2.9179,"14"
"3053","Barbados",2019,2.1139,"14"
"14","Belgium",2000,55.574988,"14"
"174","Belgium",2001,55.574988,"14"
"334","Belgium",2002,55.816378,"14"
"494","Belgium",2003,55.947258,"14"
"654","Belgium",2004,55.947258,"14"
"814","Belgium",2005,57.748054,"14"
"974","Belgium",2006,59.304054,"14"
"1134","Belgium",2007,57.748542,"14"
"1294","Belgium",2008,55.900542,"14"
"1454","Belgium",2009,56.956542,"14"
"1614","Belgium",2010,56.488542,"14"
"1774","Belgium",2011,54.456542,"14"
"1934","Belgium",2012,59.6386121279338,"14"
"2094","Belgium",2013,57.260534,"14"
"2254","Belgium",2014,55.4725583651658,"14"
"2414","Belgium",2015,55.432598,"14"
"2574","Belgium",2016,55.228651183193,"14"
"2734","Belgium",2017,56.286724,"14"
"2894","Belgium",2018,54.618724,"14"
"3054","Belgium",2019,57.780724,"14"
"15","Belize",2000,40.901456,"14"
"175","Belize",2001,41.024088,"14"
"335","Belize",2002,41.063954,"14"
"495","Belize",2003,41.088078,"14"
"655","Belize",2004,41.088078,"14"
"815","Belize",2005,41.090444,"14"
"975","Belize",2006,41.004454,"14"
"1135","Belize",2007,41.016748,"14"
"1295","Belize",2008,41.096748,"14"
"1455","Belize",2009,41.059254,"14"
"1615","Belize",2010,41.08135,"14"
"1775","Belize",2011,41.045668,"14"
"1935","Belize",2012,42.0543652059269,"14"
"2095","Belize",2013,42.088894,"14"
"2255","Belize",2014,42.1051344110265,"14"
